candidate_id,source_id,source_url,license_record,original_source_split,source_record_id,source_image_path,source_annotation_path,review_sample_id,task_eligibility,boxes_available,object_count,object_labels,object_label_counts,proposed_multiclass_label,proposed_multilabels,review_basis,candidate_status,sha256,exact_duplicate_group_id
ceymo::train::1,CeyMo,https://github.com/oshadajay/CeyMo,MIT repository licence; confirm dataset-file redistribution coverage,train,1,data/raw/v2/ceymo/train/extracted/train/images/1.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/1.xml,,multi_label;object_detection,yes,2,road_marking,road_marking:2,,road_marking,audited source labels plus student-approved visual quality; source subtypes=LA:1;SA:1,pre_split_source_candidate,9c5f3de37d639645115bdab1869c6eedaa487581ba6f3015e5b10ccb1358a15f,
ceymo::train::10,CeyMo,https://github.com/oshadajay/CeyMo,MIT repository licence; confirm dataset-file redistribution coverage,train,10,data/raw/v2/ceymo/train/extracted/train/images/10.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/10.xml,,multi_label;object_detection,yes,1,road_marking,road_marking:1,,road_marking,audited source labels plus student-approved visual quality; source subtypes=PC:1,pre_split_source_candidate,702d490c2e040852912cfb42cb24e348f2138a1e5e7bfb98b1b914382b749ad9,
ceymo::train::100,CeyMo,https://github.com/oshadajay/CeyMo,MIT repository licence; confirm dataset-file redistribution coverage,train,100,data/raw/v2/ceymo/train/extracted/train/images/100.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/100.xml,,multi_label;object_detection,yes,2,road_marking,road_marking:2,,road_marking,audited source labels plus student-approved visual quality; source subtypes=DM:2,pre_split_source_candidate,71f969c7fe2e829c63fac64f64e4178167dc3e5a21deeb48a9fc7a44a01fe03f,
ceymo::train::100a,CeyMo,https://github.com/oshadajay/CeyMo,MIT repository licence; confirm dataset-file redistribution coverage,train,100a,data/raw/v2/ceymo/train/extracted/train/images/100a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/100a.xml,,multi_label;object_detection,yes,2,road_marking,road_marking:2,,road_marking,audited source labels plus student-approved visual quality; source subtypes=DM:2,pre_split_source_candidate,6851ebeddacba3783369dd3d969288a150bbfd137e635c49be9104a7cdefa049,
ceymo::train::100b,CeyMo,https://github.com/oshadajay/CeyMo,MIT repository licence; confirm dataset-file redistribution coverage,train,100b,data/raw/v2/ceymo/train/extracted/train/images/100b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/100b.xml,,multi_label;object_detection,yes,2,road_marking,road_marking:2,,road_marking,audited source labels plus student-approved visual quality; source subtypes=DM:2,pre_split_source_candidate,52b50f638eb3aed9e5b6a914c6da4c1e188b0a2f9c00dfe209be0c3576e6faae,
ceymo::train::101,CeyMo,https://github.com/oshadajay/CeyMo,MIT repository licence; confirm dataset-file redistribution coverage,train,101,data/raw/v2/ceymo/train/extracted/train/images/101.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/101.xml,,multi_label;object_detection,yes,1,road_marking,road_marking:1,,road_marking,audited source labels plus student-approved visual quality; source subtypes=PC:1,pre_split_source_candidate,98f3c156c83b48711d5d2eef3c03243fc75374288d92f6f3ade51d52601ca0f3,
ceymo::train::101a,CeyMo,https://github.com/oshadajay/CeyMo,MIT repository licence; confirm dataset-file redistribution coverage,train,101a,data/raw/v2/ceymo/train/extracted/train/images/101a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/101a.xml,,multi_label;object_detection,yes,1,road_marking,road_marking:1,,road_marking,audited source labels plus student-approved visual quality; source subtypes=PC:1,pre_split_source_candidate,02ed5a9abd2cd07ee9539e0eccf6511c5b7769c933ee33b878478bf15a40afc7,
ceymo::train::101b,CeyMo,https://github.com/oshadajay/CeyMo,MIT repository licence; confirm dataset-file redistribution coverage,train,101b,data/raw/v2/ceymo/train/extracted/train/images/101b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/101b.xml,,multi_label;object_detection,yes,1,road_marking,road_marking:1,,road_marking,audited source labels plus student-approved visual quality; source subtypes=PC:1,pre_split_source_candidate,c251aa8c84611d9d16ce12e685aa6e2798bb72f93734971ba4717a7faec861a8,
ceymo::train::102,CeyMo,https://github.com/oshadajay/CeyMo,MIT repository licence; confirm dataset-file redistribution coverage,train,102,data/raw/v2/ceymo/train/extracted/train/images/102.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/102.xml,,multi_label;object_detection,yes,2,road_marking,road_marking:2,,road_marking,audited source labels plus student-approved visual quality; source subtypes=DM:2,pre_split_source_candidate,6230c5dcecd19a13a522039daa1313902d093f983fcfd27d2f1f37dbe3b89094,
ceymo::train::102a,CeyMo,https://github.com/oshadajay/CeyMo,MIT repository licence; confirm dataset-file redistribution coverage,train,102a,data/raw/v2/ceymo/train/extracted/train/images/102a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/102a.xml,,multi_label;object_detection,yes,2,road_marking,road_marking:2,,road_marking,audited source labels plus student-approved visual quality; source subtypes=DM:2,pre_split_source_candidate,b9d5d67621b2d484f8107664ccf880b34a3a1c371323fc1fda22af33183b8394,
