source_record_id,source_image_path,source_annotation_path,source_subtype_labels,source_subtype_counts,mapped_object_count,mapped_object_label_counts,road_marking_present,sha256,exact_duplicate_group_id,duplicate_role,selection_rule,candidate_status
1,data/raw/v2/ceymo/train/extracted/train/images/1.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/1.xml,LA;SA,LA:1;SA:1,2,road_marking:2,yes,9c5f3de37d639645115bdab1869c6eedaa487581ba6f3015e5b10ccb1358a15f,,unique,audited_source_training_record,pre_split_source_candidate
10,data/raw/v2/ceymo/train/extracted/train/images/10.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/10.xml,PC,PC:1,1,road_marking:1,yes,702d490c2e040852912cfb42cb24e348f2138a1e5e7bfb98b1b914382b749ad9,,unique,audited_source_training_record,pre_split_source_candidate
100,data/raw/v2/ceymo/train/extracted/train/images/100.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/100.xml,DM,DM:2,2,road_marking:2,yes,71f969c7fe2e829c63fac64f64e4178167dc3e5a21deeb48a9fc7a44a01fe03f,,unique,audited_source_training_record,pre_split_source_candidate
100a,data/raw/v2/ceymo/train/extracted/train/images/100a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/100a.xml,DM,DM:2,2,road_marking:2,yes,6851ebeddacba3783369dd3d969288a150bbfd137e635c49be9104a7cdefa049,,unique,audited_source_training_record,pre_split_source_candidate
100b,data/raw/v2/ceymo/train/extracted/train/images/100b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/100b.xml,DM,DM:2,2,road_marking:2,yes,52b50f638eb3aed9e5b6a914c6da4c1e188b0a2f9c00dfe209be0c3576e6faae,,unique,audited_source_training_record,pre_split_source_candidate
101,data/raw/v2/ceymo/train/extracted/train/images/101.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/101.xml,PC,PC:1,1,road_marking:1,yes,98f3c156c83b48711d5d2eef3c03243fc75374288d92f6f3ade51d52601ca0f3,,unique,audited_source_training_record,pre_split_source_candidate
101a,data/raw/v2/ceymo/train/extracted/train/images/101a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/101a.xml,PC,PC:1,1,road_marking:1,yes,02ed5a9abd2cd07ee9539e0eccf6511c5b7769c933ee33b878478bf15a40afc7,,unique,audited_source_training_record,pre_split_source_candidate
101b,data/raw/v2/ceymo/train/extracted/train/images/101b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/101b.xml,PC,PC:1,1,road_marking:1,yes,c251aa8c84611d9d16ce12e685aa6e2798bb72f93734971ba4717a7faec861a8,,unique,audited_source_training_record,pre_split_source_candidate
102,data/raw/v2/ceymo/train/extracted/train/images/102.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/102.xml,DM,DM:2,2,road_marking:2,yes,6230c5dcecd19a13a522039daa1313902d093f983fcfd27d2f1f37dbe3b89094,,unique,audited_source_training_record,pre_split_source_candidate
102a,data/raw/v2/ceymo/train/extracted/train/images/102a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/102a.xml,DM,DM:2,2,road_marking:2,yes,b9d5d67621b2d484f8107664ccf880b34a3a1c371323fc1fda22af33183b8394,,unique,audited_source_training_record,pre_split_source_candidate
103,data/raw/v2/ceymo/train/extracted/train/images/103.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/103.xml,DM,DM:2,2,road_marking:2,yes,4b129adf8c2bb0166c33a8aeda69e7962a54d5b2f250ca255df740bacd117c18,,unique,audited_source_training_record,pre_split_source_candidate
103a,data/raw/v2/ceymo/train/extracted/train/images/103a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/103a.xml,DM,DM:2,2,road_marking:2,yes,b706d8fab5d89b6b80d0fdd27dc01581aeec0ab27d880a8d18a5fde0e67e4c6e,,unique,audited_source_training_record,pre_split_source_candidate
103b,data/raw/v2/ceymo/train/extracted/train/images/103b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/103b.xml,DM,DM:2,2,road_marking:2,yes,01dab9bf97ef03f48baf3617feb4fc4196a0aaa0c6b3b851bab2daf16a47d475,,unique,audited_source_training_record,pre_split_source_candidate
104,data/raw/v2/ceymo/train/extracted/train/images/104.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/104.xml,DM,DM:1,1,road_marking:1,yes,17c3bb933562eabb78fc69ae66cbf67649b8c19ac52e0f93529094a3378c85ba,,unique,audited_source_training_record,pre_split_source_candidate
104a,data/raw/v2/ceymo/train/extracted/train/images/104a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/104a.xml,DM,DM:1,1,road_marking:1,yes,e52ebef318884147fb18ec76ebc3f0b536a214b75defb10cb177944ec1b31bd9,,unique,audited_source_training_record,pre_split_source_candidate
104b,data/raw/v2/ceymo/train/extracted/train/images/104b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/104b.xml,DM,DM:1,1,road_marking:1,yes,638de9bfbede3da9d874e3075d2ab286a7622c1e2cb0330b3ccdea70e917fc49,,unique,audited_source_training_record,pre_split_source_candidate
105,data/raw/v2/ceymo/train/extracted/train/images/105.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/105.xml,PC,PC:1,1,road_marking:1,yes,928933296912f7c4f4f2899f9c1a549458186b0da8ebaca0b7acca8936c0c010,,unique,audited_source_training_record,pre_split_source_candidate
105a,data/raw/v2/ceymo/train/extracted/train/images/105a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/105a.xml,PC,PC:1,1,road_marking:1,yes,c29c9e02daae0c40f8570c1c5ceb18a77665c3a0e1bdf38f34abf25c0f098b11,,unique,audited_source_training_record,pre_split_source_candidate
105b,data/raw/v2/ceymo/train/extracted/train/images/105b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/105b.xml,PC,PC:1,1,road_marking:1,yes,0b775a230147d625c7fabf4b125e9558c5fa929aaaa3abc1f841cab299093a5a,,unique,audited_source_training_record,pre_split_source_candidate
106,data/raw/v2/ceymo/train/extracted/train/images/106.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/106.xml,DM,DM:2,2,road_marking:2,yes,2282e7fd0d072cfad19931127738501ef2ee53cc8d8b740e39d969f47ee7950a,,unique,audited_source_training_record,pre_split_source_candidate
106a,data/raw/v2/ceymo/train/extracted/train/images/106a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/106a.xml,DM,DM:2,2,road_marking:2,yes,9b22607fb896583714c4ce4277026eb4ffa48541c423ad63d7cc90e22be0f4fe,,unique,audited_source_training_record,pre_split_source_candidate
106b,data/raw/v2/ceymo/train/extracted/train/images/106b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/106b.xml,DM,DM:2,2,road_marking:2,yes,4350d0c1955e8406fa89bcc85a45242f93327c78d16950cf50ce12c4cb3386e4,,unique,audited_source_training_record,pre_split_source_candidate
107,data/raw/v2/ceymo/train/extracted/train/images/107.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/107.xml,DM,DM:2,2,road_marking:2,yes,d8f204b20a62c00ad7c5b5f8dd45233bb21ca17d4aca6801519a8bd372132193,,unique,audited_source_training_record,pre_split_source_candidate
107a,data/raw/v2/ceymo/train/extracted/train/images/107a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/107a.xml,DM,DM:2,2,road_marking:2,yes,12c3395932fce22f64c67d86944f593f8801ad38878709823c5338dc62bb7d74,,unique,audited_source_training_record,pre_split_source_candidate
107b,data/raw/v2/ceymo/train/extracted/train/images/107b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/107b.xml,DM,DM:2,2,road_marking:2,yes,3a7ffb1ee0d0fada72bb632ffa46bd62b61791ba6cccacd119b457bc87e254d9,,unique,audited_source_training_record,pre_split_source_candidate
108,data/raw/v2/ceymo/train/extracted/train/images/108.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/108.xml,PC,PC:1,1,road_marking:1,yes,5f5b60e7ad7efd2147ed6a48f074423387988ccf05d8134dd87d4c0da25d1fd1,,unique,audited_source_training_record,pre_split_source_candidate
108a,data/raw/v2/ceymo/train/extracted/train/images/108a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/108a.xml,PC,PC:1,1,road_marking:1,yes,a80ff818098759f76c3ac92542c9c05a397bd50440f4b53bbc15e683680b2bdf,,unique,audited_source_training_record,pre_split_source_candidate
108b,data/raw/v2/ceymo/train/extracted/train/images/108b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/108b.xml,PC,PC:1,1,road_marking:1,yes,46439a95bece9c262769de355ce7ae2950ed9bbc0818c6943b2a2c195af32557,,unique,audited_source_training_record,pre_split_source_candidate
109,data/raw/v2/ceymo/train/extracted/train/images/109.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/109.xml,DM,DM:2,2,road_marking:2,yes,ef69cf5345fe4695b9f7d52b5b67a57666461fcf769951c4a827786859c357ec,,unique,audited_source_training_record,pre_split_source_candidate
109a,data/raw/v2/ceymo/train/extracted/train/images/109a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/109a.xml,DM,DM:2,2,road_marking:2,yes,0f772c7ec7a3e7cb180d8cf5063a78bad3ef326f9d4ae359f5f0a399872997af,,unique,audited_source_training_record,pre_split_source_candidate
109b,data/raw/v2/ceymo/train/extracted/train/images/109b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/109b.xml,DM,DM:2,2,road_marking:2,yes,2cee065c2036f9e5140a1903694902b65ccd32d928e9d7e5e0ce4bd1e401b116,,unique,audited_source_training_record,pre_split_source_candidate
10a,data/raw/v2/ceymo/train/extracted/train/images/10a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/10a.xml,PC,PC:1,1,road_marking:1,yes,100359ae182dc40778d195e27287d8547e5d4d5cdd45117a6fe28deec94ed5d2,,unique,audited_source_training_record,pre_split_source_candidate
10b,data/raw/v2/ceymo/train/extracted/train/images/10b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/10b.xml,PC,PC:1,1,road_marking:1,yes,0c9f04c7768e32dbea6a797e120b2a2771423b84175a91902f47157d6efef192,,unique,audited_source_training_record,pre_split_source_candidate
11,data/raw/v2/ceymo/train/extracted/train/images/11.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/11.xml,PC,PC:1,1,road_marking:1,yes,dc50803baa13577fb9e64df8f18bbe01322b6df932e9472cdf30a2525de116d4,,unique,audited_source_training_record,pre_split_source_candidate
110,data/raw/v2/ceymo/train/extracted/train/images/110.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/110.xml,PC,PC:1,1,road_marking:1,yes,359865a32c2b618553bb230c5e6dfa0758784168a26d8655f210fb6a9c69baa3,,unique,audited_source_training_record,pre_split_source_candidate
110a,data/raw/v2/ceymo/train/extracted/train/images/110a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/110a.xml,PC,PC:1,1,road_marking:1,yes,e98552e9146779bfe97697308feee04dabf6f4eb454b75e8711abb988bea8c22,,unique,audited_source_training_record,pre_split_source_candidate
110b,data/raw/v2/ceymo/train/extracted/train/images/110b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/110b.xml,PC,PC:1,1,road_marking:1,yes,3be8b985fed1197d8528953f1bbdae6e1c50e356e4f68caf83c408d40fc37e63,,unique,audited_source_training_record,pre_split_source_candidate
111,data/raw/v2/ceymo/train/extracted/train/images/111.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/111.xml,PC,PC:1,1,road_marking:1,yes,a4cac01f68c3052100564cc47ba67cd952524410cd589fe1adb2178389092e63,,unique,audited_source_training_record,pre_split_source_candidate
112,data/raw/v2/ceymo/train/extracted/train/images/112.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/112.xml,DM,DM:2,2,road_marking:2,yes,8d878c43f9cddbbb9d0a3dedb3ed2ffaaafe768de9ebb1df152c480e3edb7333,,unique,audited_source_training_record,pre_split_source_candidate
112a,data/raw/v2/ceymo/train/extracted/train/images/112a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/112a.xml,DM,DM:2,2,road_marking:2,yes,e496eb08790fc1ef1fb09c7a78ea1f28d1d31974abe8249974420401af682f9a,,unique,audited_source_training_record,pre_split_source_candidate
112b,data/raw/v2/ceymo/train/extracted/train/images/112b.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/112b.xml,DM,DM:2,2,road_marking:2,yes,ec7911099666be9372a1c367d65531e06846727e3fdcb1c618eb3ad433d9ea1a,,unique,audited_source_training_record,pre_split_source_candidate
113,data/raw/v2/ceymo/train/extracted/train/images/113.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/113.xml,PC,PC:1,1,road_marking:1,yes,3485a1407507de1e1572088625f06bdfcf4b0ef513e87f9234be9eed442bbc0b,,unique,audited_source_training_record,pre_split_source_candidate
114,data/raw/v2/ceymo/train/extracted/train/images/114.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/114.xml,SA,SA:1,1,road_marking:1,yes,cad04c20cb21e0c5812cb9619dc56eccb1bb784e1f88b2997b02fa90e2e20716,,unique,audited_source_training_record,pre_split_source_candidate
114a,data/raw/v2/ceymo/train/extracted/train/images/114a.jpg,data/raw/v2/ceymo/train/extracted/train/bbox_annotations/114a.xml,SA,SA:1,1,road_marking:1,yes,3b528f64261efa53d5add9cedcdc5e8783cbba57a3d0ccfc52de3d7193110ced,,unique,audited_source_training_record,pre_split_source_candidate
