candidate_id_a,split_a,label_a,source_a,candidate_id_b,split_b,label_b,source_b,hamming_distance,recommended_action
github_pothole::github_pothole::img-1003,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-623,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1006,protected_test,pothole,jaygala24_pothole_detection,v1::train::pothole::a7a41d8f05d1_pothole449.jpg,train,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1008,validation,pothole,jaygala24_pothole_detection,v1::train::pothole::9726e436a953_pothole727.jpg,train,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1011,protected_test,pothole,jaygala24_pothole_detection,v1::train::pothole::e1f5db4c9613_pothole181.jpg,validation,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1015,train,pothole,jaygala24_pothole_detection,v1::train::pothole::7d2eb8c60464_pothole359.jpg,protected_test,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1018,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-480,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1024,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-373,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1026,train,pothole,jaygala24_pothole_detection,v1::train::pothole::e57649880d18_pothole517.jpg,validation,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1027,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-422,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1027,validation,pothole,jaygala24_pothole_detection,v1::train::pothole::bbebde7e7967_pothole760.jpg,train,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1028,train,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-385,protected_test,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1029,train,pothole,jaygala24_pothole_detection,v1::train::pothole::584dcacacb42_pothole552.jpg,protected_test,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1030,train,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-785,validation,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1032,protected_test,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-579,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1037,train,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-901,protected_test,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1043,train,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-337,protected_test,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1049,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-664,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1051,train,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-583,validation,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1052,train,pothole,jaygala24_pothole_detection,v1::train::pothole::0f3828c1aeb7_pothole215.jpg,protected_test,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1064,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-356,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1066,protected_test,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-307,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1068,protected_test,pothole,jaygala24_pothole_detection,v1::train::pothole::21a73f01e906_pothole863.jpg,train,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1071,validation,pothole,jaygala24_pothole_detection,v1::train::pothole::e86c2e126f71_pothole48.jpg,train,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1074,train,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-403,protected_test,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1081,protected_test,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-323,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1082,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-343,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1082,validation,pothole,jaygala24_pothole_detection,v1::train::pothole::3e965f690688_pothole649.jpg,train,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1093,train,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-481,protected_test,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1093,train,pothole,jaygala24_pothole_detection,v1::train::pothole::4b0e8911adbf_pothole325.jpg,protected_test,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1097,train,pothole,jaygala24_pothole_detection,v1::train::pothole::dfcec8b1606d_pothole119.jpg,validation,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1098,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-588,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1098,validation,pothole,jaygala24_pothole_detection,v1::train::pothole::4215db0d7a5d_pothole221.jpg,train,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1100,validation,pothole,jaygala24_pothole_detection,v1::train::pothole::c9800d8e4dea_pothole431.jpg,train,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1102,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-531,train,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1103,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-596,protected_test,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1104,validation,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-425,protected_test,pothole,jaygala24_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1108,validation,pothole,jaygala24_pothole_detection,v1::train::pothole::47b2eaea9f64_pothole561.jpg,protected_test,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1118,protected_test,pothole,jaygala24_pothole_detection,v1::train::pothole::657fe6de4c9e_pothole6.jpg,train,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1121,validation,pothole,jaygala24_pothole_detection,v1::train::pothole::3758790b8895_pothole567.jpg,train,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1127,train,pothole,jaygala24_pothole_detection,v1::train::pothole::1151c0b46bf4_pothole89.jpg,validation,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
github_pothole::github_pothole::img-1129,train,pothole,jaygala24_pothole_detection,v1::train::pothole::23900c8e21d5_pothole871.jpg,protected_test,pothole,V1_Kaggle_pothole_detection,0,holdout_required_same_visual_hash
