candidate_id_a,split_a,label_a,source_a,candidate_id_b,split_b,label_b,source_b,hamming_distance,recommended_action,pair_id,left_image_path,right_image_path,contact_sheet,decision,reviewer_note
github_pothole::github_pothole::img-1046,protected_test,pothole,jaygala24_pothole_detection,v1::train::pothole::58b5e15a8f42_pothole307.jpg,train,pothole,V1_Kaggle_pothole_detection,4,review_required_possible_near_duplicate,near-001,data/raw/v2/pothole_github/Pothole Dataset/img-1046.jpg,data/processed/clean_split/train/Pothole/58b5e15a8f42_pothole307.jpg,near_duplicate_pairs_01.png,confirmed_exact_duplicate,User visually confirmed exact duplicate.
github_pothole::github_pothole::img-302,train,pothole,jaygala24_pothole_detection,v1::train::pothole::cad3f407879f_pothole95.jpg,protected_test,pothole,V1_Kaggle_pothole_detection,4,review_required_possible_near_duplicate,near-002,data/raw/v2/pothole_github/Pothole Dataset/img-302.jpg,data/processed/clean_split/train/Pothole/cad3f407879f_pothole95.jpg,near_duplicate_pairs_01.png,confirmed_exact_duplicate,User visually confirmed exact duplicate.
github_pothole::github_pothole::img-351,train,pothole,jaygala24_pothole_detection,v1::train::pothole::700cb81450c6_pothole285.jpg,validation,pothole,V1_Kaggle_pothole_detection,4,review_required_possible_near_duplicate,near-003,data/raw/v2/pothole_github/Pothole Dataset/img-351.jpg,data/processed/clean_split/train/Pothole/700cb81450c6_pothole285.jpg,near_duplicate_pairs_01.png,confirmed_exact_duplicate,User visually confirmed exact duplicate.
github_pothole::github_pothole::img-390,train,pothole,jaygala24_pothole_detection,github_pothole::github_pothole::img-676,protected_test,pothole,jaygala24_pothole_detection,4,review_required_possible_near_duplicate,near-004,data/raw/v2/pothole_github/Pothole Dataset/img-390.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-676.jpg,near_duplicate_pairs_01.png,confirmed_exact_duplicate,User visually confirmed exact duplicate.
github_pothole::github_pothole::img-657,validation,pothole,jaygala24_pothole_detection,v1::train::pothole::fadd5e9bd782_pothole127.jpg,train,pothole,V1_Kaggle_pothole_detection,4,review_required_possible_near_duplicate,near-005,data/raw/v2/pothole_github/Pothole Dataset/img-657.jpg,data/processed/clean_split/train/Pothole/fadd5e9bd782_pothole127.jpg,near_duplicate_pairs_02.png,confirmed_exact_duplicate,User visually confirmed exact duplicate.
github_pothole::github_pothole::img-740,train,pothole,jaygala24_pothole_detection,v1::train::pothole::bca9b0ff5e00_pothole516.jpg,protected_test,pothole,V1_Kaggle_pothole_detection,4,review_required_possible_near_duplicate,near-006,data/raw/v2/pothole_github/Pothole Dataset/img-740.jpg,data/processed/clean_split/train/Pothole/bca9b0ff5e00_pothole516.jpg,near_duplicate_pairs_02.png,confirmed_exact_duplicate,User visually confirmed exact duplicate.
kaggle_speed_bump::train::bump::VIDEO0003_017.jpg,protected_test,speed_bump,Kaggle_speed_bump_dataset,kaggle_speed_bump::train::bump::VIDEO0003_018.jpg,train,speed_bump,Kaggle_speed_bump_dataset,4,review_required_possible_near_duplicate,near-007,data/raw/v2/kaggle_speed_bump/Speed_Bump/bump_detection_dataset/train/bump/VIDEO0003_017.jpg,data/raw/v2/kaggle_speed_bump/Speed_Bump/bump_detection_dataset/train/bump/VIDEO0003_018.jpg,near_duplicate_pairs_02.png,confirmed_exact_duplicate,User visually confirmed exact duplicate.
kaggle_speed_bump::train::bump::VIDEO0004_051.jpg,protected_test,speed_bump,Kaggle_speed_bump_dataset,kaggle_speed_bump::train::bump::VIDEO0004_052.jpg,train,speed_bump,Kaggle_speed_bump_dataset,4,review_required_possible_near_duplicate,near-008,data/raw/v2/kaggle_speed_bump/Speed_Bump/bump_detection_dataset/train/bump/VIDEO0004_051.jpg,data/raw/v2/kaggle_speed_bump/Speed_Bump/bump_detection_dataset/train/bump/VIDEO0004_052.jpg,near_duplicate_pairs_02.png,confirmed_exact_duplicate,User visually confirmed exact duplicate.
kaggle_speed_bump::train::bump::VIDEO0005_013.jpg,protected_test,speed_bump,Kaggle_speed_bump_dataset,kaggle_speed_bump::train::bump::VIDEO0005_014.jpg,train,speed_bump,Kaggle_speed_bump_dataset,4,review_required_possible_near_duplicate,near-009,data/raw/v2/kaggle_speed_bump/Speed_Bump/bump_detection_dataset/train/bump/VIDEO0005_013.jpg,data/raw/v2/kaggle_speed_bump/Speed_Bump/bump_detection_dataset/train/bump/VIDEO0005_014.jpg,near_duplicate_pairs_03.png,confirmed_exact_duplicate,User visually confirmed exact duplicate.
kaggle_speed_bump::train::bump::VIDEO0005_038.jpg,train,speed_bump,Kaggle_speed_bump_dataset,kaggle_speed_bump::train::bump::VIDEO0005_039.jpg,protected_test,speed_bump,Kaggle_speed_bump_dataset,4,review_required_possible_near_duplicate,near-010,data/raw/v2/kaggle_speed_bump/Speed_Bump/bump_detection_dataset/train/bump/VIDEO0005_038.jpg,data/raw/v2/kaggle_speed_bump/Speed_Bump/bump_detection_dataset/train/bump/VIDEO0005_039.jpg,near_duplicate_pairs_03.png,confirmed_exact_duplicate,User visually confirmed exact duplicate.
