audit_id,source_key,source_dataset,source_url,source_split,source_parquet,source_record_index,source_filename,source_image_path,width,height,image_sha256,mask_sha256,target_sha256,shadow_mask_coverage,exact_image_duplicate_group_size,audit_status,road_context_status,training_eligibility,license_note
SRD_FULL_00001,srd,Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,test,data/raw/v2/srd_full_hf/data/test-00000-of-00001.parquet,0,IMG_6361.jpg,data/raw/v2/srd_full_hf/extracted_shadow_images/test/00000__IMG_6361.jpg,840,640,d73eb3c46db2ef4de86542a7cded8145bb15c9d0cffff239063363ff944df29d,aae36978123c6af360031fdc764890291be95215b9ce8f85390e49c9311edbc4,6609b000fc9c906d30db5d881aad2e33b89c1d200060fb6bee0299c887a426ab,0.208138,1,structurally_valid_not_integrated,not_individually_road_verified,blocked_pending_provenance_license_and_road_context_filter,MIT stated in local mirror README; original-source provenance still requires confirmation.
SRD_FULL_00002,srd,Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,test,data/raw/v2/srd_full_hf/data/test-00000-of-00001.parquet,1,IMG_6362.jpg,data/raw/v2/srd_full_hf/extracted_shadow_images/test/00001__IMG_6362.jpg,840,640,4e2bf81945e9485c5f09a75ef038bac2b029486fc56b401d093992c20eea4794,6be8c5d642d4a67b2900d992c406a06e9f4bbad9dc53631159306e1627ef9ab6,6609b000fc9c906d30db5d881aad2e33b89c1d200060fb6bee0299c887a426ab,0.463545,1,structurally_valid_not_integrated,not_individually_road_verified,blocked_pending_provenance_license_and_road_context_filter,MIT stated in local mirror README; original-source provenance still requires confirmation.
SRD_FULL_00003,srd,Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,test,data/raw/v2/srd_full_hf/data/test-00000-of-00001.parquet,2,IMG_6363.jpg,data/raw/v2/srd_full_hf/extracted_shadow_images/test/00002__IMG_6363.jpg,840,640,a02115ee27562c11b771f57bcb31aa39ce5220075832e1e5b22dd42277ba6c90,9a1d6d3b01772f54d5d826aa3ae597dbc70ae382267d15f8f304a04d16b3b5c1,6609b000fc9c906d30db5d881aad2e33b89c1d200060fb6bee0299c887a426ab,0.555824,1,structurally_valid_not_integrated,not_individually_road_verified,blocked_pending_provenance_license_and_road_context_filter,MIT stated in local mirror README; original-source provenance still requires confirmation.
SRD_FULL_00004,srd,Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,test,data/raw/v2/srd_full_hf/data/test-00000-of-00001.parquet,3,IMG_6364.jpg,data/raw/v2/srd_full_hf/extracted_shadow_images/test/00003__IMG_6364.jpg,840,640,d58cd7505d9216152d458c7aa8d153b9984e97a616788c185f21e489aeaea706,4aab595d79a1a325efd3b50a10a974770bbde91bf860b9f22b9875caf5bbe35b,6609b000fc9c906d30db5d881aad2e33b89c1d200060fb6bee0299c887a426ab,0.496371,1,structurally_valid_not_integrated,not_individually_road_verified,blocked_pending_provenance_license_and_road_context_filter,MIT stated in local mirror README; original-source provenance still requires confirmation.
SRD_FULL_00005,srd,Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,test,data/raw/v2/srd_full_hf/data/test-00000-of-00001.parquet,4,IMG_6365.jpg,data/raw/v2/srd_full_hf/extracted_shadow_images/test/00004__IMG_6365.jpg,840,640,93659e5c46accd4591fdb9fd347e56f4f55b302257a91e2c5c1fc7e23e948440,122e21ae51d8c8664d999f92aeb47cbb05589f264ddcc7b6fd4750eb305d79d1,6609b000fc9c906d30db5d881aad2e33b89c1d200060fb6bee0299c887a426ab,0.432591,1,structurally_valid_not_integrated,not_individually_road_verified,blocked_pending_provenance_license_and_road_context_filter,MIT stated in local mirror README; original-source provenance still requires confirmation.
SRD_FULL_00006,srd,Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,test,data/raw/v2/srd_full_hf/data/test-00000-of-00001.parquet,5,IMG_6366.jpg,data/raw/v2/srd_full_hf/extracted_shadow_images/test/00005__IMG_6366.jpg,840,640,c1531c3e21257ffc74a2f5a273240687751c64008d7e186c916050eab695ed7b,2bd9861c0593cfeff7959cc8c912e9c843d859f9426a1540e940966d85a78daf,6609b000fc9c906d30db5d881aad2e33b89c1d200060fb6bee0299c887a426ab,0.471961,1,structurally_valid_not_integrated,not_individually_road_verified,blocked_pending_provenance_license_and_road_context_filter,MIT stated in local mirror README; original-source provenance still requires confirmation.
SRD_FULL_00007,srd,Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,test,data/raw/v2/srd_full_hf/data/test-00000-of-00001.parquet,6,IMG_6367.jpg,data/raw/v2/srd_full_hf/extracted_shadow_images/test/00006__IMG_6367.jpg,840,640,86b79d60a0386a19ea67a7f89a9844834113e1801ffc6a690a8acbff31a5afeb,c873ab2e02509afe8ef74258cf0ba7a09e81daf14d203953d4702b804acebe23,6609b000fc9c906d30db5d881aad2e33b89c1d200060fb6bee0299c887a426ab,0.469606,1,structurally_valid_not_integrated,not_individually_road_verified,blocked_pending_provenance_license_and_road_context_filter,MIT stated in local mirror README; original-source provenance still requires confirmation.
SRD_FULL_00008,srd,Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,test,data/raw/v2/srd_full_hf/data/test-00000-of-00001.parquet,7,IMG_6368.jpg,data/raw/v2/srd_full_hf/extracted_shadow_images/test/00007__IMG_6368.jpg,840,640,e4303550628558ceaee5506254f102d97a3ccf74f3db5a9be923326998d47dff,0e732e31cb7a8f16bda60da2ec9a2318d727c85b9bdb5abad214ff47f3d9da30,6609b000fc9c906d30db5d881aad2e33b89c1d200060fb6bee0299c887a426ab,0.543393,1,structurally_valid_not_integrated,not_individually_road_verified,blocked_pending_provenance_license_and_road_context_filter,MIT stated in local mirror README; original-source provenance still requires confirmation.
SRD_FULL_00009,srd,Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,test,data/raw/v2/srd_full_hf/data/test-00000-of-00001.parquet,8,IMG_6369.jpg,data/raw/v2/srd_full_hf/extracted_shadow_images/test/00008__IMG_6369.jpg,840,640,5bec0dd2aca8cb3a33ecbd6aa508365ac982879c09198d8df08e713ed4167454,1f89da330a12618b37177777c1064cb77e659ab1a7be3f89eae19a0f5b16aba8,6609b000fc9c906d30db5d881aad2e33b89c1d200060fb6bee0299c887a426ab,0.488065,1,structurally_valid_not_integrated,not_individually_road_verified,blocked_pending_provenance_license_and_road_context_filter,MIT stated in local mirror README; original-source provenance still requires confirmation.
SRD_FULL_00010,srd,Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,test,data/raw/v2/srd_full_hf/data/test-00000-of-00001.parquet,9,IMG_6370.jpg,data/raw/v2/srd_full_hf/extracted_shadow_images/test/00009__IMG_6370.jpg,840,640,b165f7ac35ac45719fcbed783473ec9f6de6e7e23f298ee7dc7764c5fc379cf5,e644cad0bba1561af25dfa89cee4d59faa4090a7dc7dadce0618a456d2c57bf3,6609b000fc9c906d30db5d881aad2e33b89c1d200060fb6bee0299c887a426ab,0.472574,1,structurally_valid_not_integrated,not_individually_road_verified,blocked_pending_provenance_license_and_road_context_filter,MIT stated in local mirror README; original-source provenance still requires confirmation.
