source_id,filename,relative_image_path,relative_label_path,sha256,width,height,valid_pothole_boxes,invalid_source_boxes,duplicate_group,decision,decision_reason
github_pothole::img-1,img-1.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1.txt,a1b2da05c00ea71461a90815005b3b38d8ce8a1d603b3e4d0445513df7ae9a30,720,720,1,0,,keep,human_visual_quality_approved
github_pothole::img-10,img-10.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-10.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-10.txt,cf7038981864142a0d2fce14e07f6ff6a3a6e13a7815c82921bf2b6e529bbabb,720,720,1,0,,keep,human_visual_quality_approved
github_pothole::img-100,img-100.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-100.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-100.txt,119e1495b6572fca432c89caffa98ccbc6d2d11143ccf984ac6a9cc839f6af02,720,720,1,0,,keep,human_visual_quality_approved
github_pothole::img-1000,img-1000.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1000.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1000.txt,fe61b79aeef03747748770e1d165d9ab4f1e8d20ff5604e2ac2fb58c8e6f0ca7,416,245,3,0,,keep,human_visual_quality_approved
github_pothole::img-1001,img-1001.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1001.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1001.txt,304a6babaf6ba60bb14c032b124d31c9ef32b9ba0e617d9f7f20c2c49f23ccc6,416,277,5,0,,keep,human_visual_quality_approved
github_pothole::img-1002,img-1002.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1002.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1002.txt,31abafaa34bc0f03c4a25453c6428c5a650c88f3e467768617e2891b14911466,380,312,17,0,,keep,human_visual_quality_approved
github_pothole::img-1003,img-1003.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1003.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1003.txt,16e64a975bf5bec63418dea8fa11aaa53df4ab522e1b7de0f8d2a9fca6f7fa12,416,234,3,0,,keep,human_visual_quality_approved
github_pothole::img-1004,img-1004.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1004.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1004.txt,714697274f03d855923b209668fd4559fa33d57826531414263358375de1b444,416,279,1,0,,keep,human_visual_quality_approved
github_pothole::img-1005,img-1005.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1005.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1005.txt,d46241aa3e786b535eaf9681f5d62a39f468bd66f8c3f90004afced567a73dc9,416,276,13,0,exact_duplicate_001,exclude,exact_duplicate_kept_copy_has_more_valid_boxes
github_pothole::img-1006,img-1006.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1006.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1006.txt,d46241aa3e786b535eaf9681f5d62a39f468bd66f8c3f90004afced567a73dc9,416,276,17,0,exact_duplicate_001,keep,human_visual_quality_approved
github_pothole::img-1007,img-1007.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1007.jpg,data/raw/v2/pothole_github/Pothole Dataset/img-1007.txt,aa8bf6e9552d3990ce99fa5772b89a0a60d9140d21eba8aac96ac524db8b35ba,416,245,8,0,,keep,human_visual_quality_approved
