source_record_id,source_label,relative_image_path,sha256,width,height,sequence_risk,exact_duplicate_group_id,decision,decision_reason
bump::Image00059.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00059.jpg,d266633ee54de24ad56b66eb3e6cef306484b37206168c131716114515cfe62a,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00060.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00060.jpg,339a56943034027606e0d27bc183f770ca424e7467476b03bc327560a080aff4,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00061.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00061.jpg,9139a53f4d23ee1bf81b18878692f7b2d370b12fdd89c67097459b44a5142a67,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00062.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00062.jpg,ac53e017cc556f7a9f12445c44603883d65325af7a7ad0b21871744ef15a750d,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00063.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00063.jpg,3058ebbf8011fa485040a9ee268ca627cc8189132ba00f6efdf35a8e896d9854,460,816,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00064.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00064.jpg,168604493db26544f6e0c4e7ad513c27e80eebdb0252de98f9e7f941bb05801b,460,816,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00065.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00065.jpg,9e74e0f021ea6fd562889e71e577a6ba83db611d9d7d3861e397615cabd933e2,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00067.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00067.jpg,3f473792a302a3446e5e59a20c8661769ba305559ceaef8a9de031357addc1d3,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00068.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00068.jpg,f9b69a7d712997198c3e2516145e5a77bf476fa294aed64ee150ee31cc2c8afb,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00069.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00069.jpg,99ec94c15b583efe83dfba417bedd600d1686c7df1e6c020737fcf7d20a9d98f,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00070.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00070.jpg,f6aafd61a4f3d7a230222235266fe7392b4a8415339b1b8c94736ef8ff2fb4a5,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00071.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00071.jpg,e570afe116bcaf7df5edb4afa17c18abcc7eb2b2c681d7d3809458ace18db0c1,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00072.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00072.jpg,3b5a3a3b847418295d817ab6db45df16b7c9b08af1ee66f3dab86d1424b916fd,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00073.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00073.jpg,bc26f7efcc3a6363c24f52dfb06dc29099cdcc3f316b53b9d649128ee0503bdd,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00074.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00074.jpg,e7563bfbef7a657cb9692b6a5b8a2f80b9348ddf1680cb58bc59b7899664e573,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00075.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00075.jpg,af9d4d7070c9318957f33ba34da77514146ee2c6364a3aef487859f2ac8312fd,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00076.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00076.jpg,1a523258b5ae369c5270ad493bdfc5ddaa0ee91dbe2c989162f5afd59395ba27,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00077.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00077.jpg,87844735e147b55a5971510b3d163bd0daff0c49c2dc35ce16766059186f54cb,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00078.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00078.jpg,e2cfe1537d9b19b78ffcc7fd67d6874181df158c4bf26e884eb6419ba671fd4b,460,816,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00080.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00080.jpg,eb9ce2ed97227e9428ce226e39b1050fc514499938d801b2583e4741a7ff96c0,460,816,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00081.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00081.jpg,cd5a65e8628492a29fea22039ca6009373e58723988f8974198e5e1cdbc4c540,460,816,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00082.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00082.jpg,310f315acd88aa790e58c55ef0b3ad1a8c6676c67edeeeabdc554b088fc1f7e7,460,816,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00083.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00083.jpg,5b89e57e74469cddb20754d8521661a3a991b2a4162685da91e7ecf692a0286d,460,816,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00084.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00084.jpg,fc03246a961ef1b1d279ce455a1315abf5d00a475f6e1daec312f39a92a0ccd5,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
bump::Image00085.jpg,bump,data/raw/v2/kaggle_speed_bump/Dataset/Data/bump/Image00085.jpg,f0107fa71f7e425b24429869158298dff9332ae293678af770cacdd581babd9a,816,460,false,,keep_speed_bump_candidate,source bump label with no MVI sequence-style filename
