candidate_id,primary_road_label,added_multilabel,review_manifest_id,decision,eligibility
streetsurfacevis::train::337962774349768,normal_asphalt,shadow,SH-01,approved,training_candidate
streetsurfacevis::train::163131436181172,normal_asphalt,shadow,SH-02,approved,training_candidate
streetsurfacevis::train::958064384954616,normal_asphalt,shadow,SH-03,approved,training_candidate
streetsurfacevis::train::2947968652146226,normal_asphalt,shadow,SH-04,approved,training_candidate
streetsurfacevis::train::323186369159822,normal_asphalt,shadow,SH-05,approved,training_candidate
streetsurfacevis::train::187811569886501,normal_asphalt,shadow,SH-06,approved,training_candidate
streetsurfacevis::train::621218932788649,normal_asphalt,shadow,SH-07,approved,training_candidate
streetsurfacevis::train::292276845787849,normal_asphalt,shadow,SH-08,approved,training_candidate
streetsurfacevis::train::300585424924842,normal_asphalt,shadow,SH-09,approved,training_candidate
streetsurfacevis::train::201999914870482,normal_asphalt,shadow,SH-10,approved,training_candidate
streetsurfacevis::train::300679328256360,normal_asphalt,shadow,SH-11,approved,training_candidate
streetsurfacevis::train::559386385893535,normal_asphalt,shadow,SH-12,approved,training_candidate
streetsurfacevis::train::1964334537048617,normal_asphalt,shadow,SH-C003,approved,training_candidate
streetsurfacevis::train::2570008989970943,normal_asphalt,shadow,SH-C004,approved,training_candidate
streetsurfacevis::train::794469802269622,normal_asphalt,shadow,SH-C005,approved,training_candidate
streetsurfacevis::train::485042319475830,normal_asphalt,shadow,SH-C006,approved,training_candidate
streetsurfacevis::train::304312067847151,normal_asphalt,shadow,SH-C007,approved,training_candidate
streetsurfacevis::train::1187724221664906,normal_asphalt,shadow,SH-C008,approved,training_candidate
streetsurfacevis::train::566327654645367,normal_asphalt,shadow,SH-C009,approved,training_candidate
streetsurfacevis::train::1061896178058744,normal_asphalt,shadow,SH-C011,approved,training_candidate
streetsurfacevis::train::638188590387957,normal_asphalt,shadow,SH-C012,approved,training_candidate
streetsurfacevis::train::135421615285100,normal_asphalt,shadow,SH-C013,approved,training_candidate
streetsurfacevis::train::5297950250326667,normal_asphalt,shadow,SH-C014,approved,training_candidate
streetsurfacevis::train::3094430640772024,normal_asphalt,shadow,SH-C015,approved,training_candidate
streetsurfacevis::train::386209555929504,normal_asphalt,shadow,SH-C017,approved,training_candidate
streetsurfacevis::train::614095730069612,normal_asphalt,shadow,SH-C018,approved,training_candidate
streetsurfacevis::train::489239522197538,normal_asphalt,shadow,SH-C022,approved,training_candidate
streetsurfacevis::train::1629206557566476,normal_asphalt,shadow,SH-C023,approved,training_candidate
streetsurfacevis::train::2963220880591269,normal_asphalt,shadow,SH-C024,approved,training_candidate
streetsurfacevis::train::288492096969344,normal_asphalt,shadow,SH-C026,approved,training_candidate
streetsurfacevis::train::538157117568903,normal_asphalt,shadow,SH-C027,approved,training_candidate
streetsurfacevis::train::527629208250433,normal_asphalt,shadow,SH-C029,approved,training_candidate
streetsurfacevis::train::584882903624933,normal_asphalt,shadow,SH-C032,approved,training_candidate
streetsurfacevis::train::197494732097614,normal_asphalt,shadow,SH-C034,approved,training_candidate
streetsurfacevis::train::1244500255984732,normal_asphalt,shadow,SH-C036,approved,training_candidate
streetsurfacevis::train::362595122758501,normal_asphalt,shadow,SH-C037,approved,training_candidate
streetsurfacevis::train::1594889404258826,normal_asphalt,shadow,SH-C038,approved,training_candidate
streetsurfacevis::train::617544953636636,normal_asphalt,shadow,SH-C041,approved,training_candidate
streetsurfacevis::train::2757658381211319,normal_asphalt,shadow,SH-C044,approved,training_candidate
streetsurfacevis::train::541605023544739,normal_asphalt,shadow,SH-C046,approved,training_candidate
streetsurfacevis::train::4266076163452188,normal_asphalt,shadow,SH-R2-C001,approved,training_candidate
streetsurfacevis::train::517395195973342,normal_asphalt,shadow,SH-R2-C002,approved,training_candidate
streetsurfacevis::train::325264672537808,normal_asphalt,shadow,SH-R2-C006,approved,training_candidate
streetsurfacevis::train::562786198038894,normal_asphalt,shadow,SH-R2-C011,approved,training_candidate
streetsurfacevis::train::1120609728420959,normal_asphalt,shadow,SH-R2-C012,approved,training_candidate
streetsurfacevis::train::314571826842492,normal_asphalt,shadow,SH-R2-C013,approved,training_candidate
streetsurfacevis::train::331130671845439,normal_asphalt,shadow,SH-R2-C017,approved,training_candidate
streetsurfacevis::train::299372698323550,normal_asphalt,shadow,SH-R2-C021,approved,training_candidate
streetsurfacevis::train::209478385347306,normal_asphalt,shadow,SH-R2-C025,approved,training_candidate
streetsurfacevis::train::1162687380862175,normal_asphalt,shadow,SH-R2-C027,approved,training_candidate
streetsurfacevis::train::975617313315324,normal_asphalt,shadow,SH-R2-C028,approved,training_candidate
streetsurfacevis::train::292440589826751,normal_asphalt,shadow,SH-R2-C029,approved,training_candidate
streetsurfacevis::train::1518787851915135,normal_asphalt,shadow,SH-R2-C032,approved,training_candidate
streetsurfacevis::train::956362611886219,normal_asphalt,shadow,SH-R2-C036,approved,training_candidate
streetsurfacevis::train::657850198623869,normal_asphalt,shadow,SH-R2-C039,approved,training_candidate
streetsurfacevis::train::495540371638099,normal_asphalt,shadow,SH-R2-C043,approved,training_candidate
streetsurfacevis::train::2913680268880834,normal_asphalt,shadow,SH-R2-C044,approved,training_candidate
streetsurfacevis::train::1912678515558699,normal_asphalt,shadow,SH-R2-C045,approved,training_candidate
streetsurfacevis::train::299423584975253,normal_asphalt,shadow,SH-R2-C046,approved,training_candidate
streetsurfacevis::train::387053769645706,normal_asphalt,shadow,SHC-001,approved,training_candidate
streetsurfacevis::train::807081436877102,unpaved_road,shadow,SHC-002,approved,training_candidate
streetsurfacevis::train::1935704469913780,normal_asphalt,shadow,SHC-003,approved,training_candidate
streetsurfacevis::train::2245216815631355,unpaved_road,shadow,SHC-004,approved,training_candidate
streetsurfacevis::train::683634355978781,unpaved_road,shadow,SHC-006,approved,training_candidate
streetsurfacevis::train::759485928272548,unpaved_road,shadow,SHC-008,approved,training_candidate
streetsurfacevis::train::826107518284061,normal_asphalt,shadow,SHC-009,approved,training_candidate
streetsurfacevis::train::951551752943194,unpaved_road,shadow,SHC-010,approved,training_candidate
streetsurfacevis::train::303593837938660,normal_asphalt,shadow,SHC-011,approved,training_candidate
streetsurfacevis::train::168585915191277,unpaved_road,shadow,SHC-012,approved,training_candidate
streetsurfacevis::train::310716197237795,normal_asphalt,shadow,SHC-013,approved,training_candidate
streetsurfacevis::train::2807390949576171,unpaved_road,shadow,SHC-014,approved,training_candidate
streetsurfacevis::train::881525869781998,normal_asphalt,shadow,SHC-015,approved,training_candidate
streetsurfacevis::train::120327113867366,unpaved_road,shadow,SHC-016,approved,training_candidate
streetsurfacevis::train::2660633590841922,normal_asphalt,shadow,SHC-019,approved,training_candidate
streetsurfacevis::train::314577030186053,normal_asphalt,shadow,SHC-021,approved,training_candidate
streetsurfacevis::train::437980108148172,unpaved_road,shadow,SHC-022,approved,training_candidate
streetsurfacevis::train::2273745339436121,normal_asphalt,shadow,SHC-023,approved,training_candidate
streetsurfacevis::train::510913250087205,unpaved_road,shadow,SHC-024,approved,training_candidate
