staging_id,audit_id,source_key,source_dataset,source_split,source_image_path,width,height,image_sha256,mask_sha256,shadow_mask_coverage,shadow_label,road_context_status,intended_use,training_eligibility,duplicate_decision
SHADOW_STAGE_00001,SRD_FULL_00407,srd,Donghyun99/SRD (unofficial Hugging Face mirror),train,data/raw/v2/srd_full_hf/extracted_shadow_images/train/00406__A_MG_8619.jpg,840,640,d860146639563510c4528ba832ac5609e045985c3c03a080e4296af77042fd30,ebd6b96ddae1fd9c67aa1d4398587fa348f0eb1134e40c879c85778d0de2d7f2,0.030218,present_from_source_mask,not_individually_road_verified,future_shadow_pattern_pretraining_only,blocked_pending_provenance_license_and_road_context_filter,kept_unique_source_training_record
SHADOW_STAGE_00002,SRD_FULL_00408,srd,Donghyun99/SRD (unofficial Hugging Face mirror),train,data/raw/v2/srd_full_hf/extracted_shadow_images/train/00407__A_MG_8621_2.jpg,840,640,e567707b0260dc2cada047e2feab47bf07fceaf5639deb38679f949d2e715914,234b70c070e927dee794f99db0822173c55a378a6ce368127ea0a61888c0b101,0.057792,present_from_source_mask,not_individually_road_verified,future_shadow_pattern_pretraining_only,blocked_pending_provenance_license_and_road_context_filter,kept_unique_source_training_record
SHADOW_STAGE_00003,SRD_FULL_00409,srd,Donghyun99/SRD (unofficial Hugging Face mirror),train,data/raw/v2/srd_full_hf/extracted_shadow_images/train/00408__DSCF0211.jpg,1005,852,4637e60bc7743287a72fafb5df36e03eff9742d991695351154b587b69dd0815,767b5ccf6a23c07ecdeefddf75c0795f832507819742c3a526d2339f2f9f07d0,0.136825,present_from_source_mask,not_individually_road_verified,future_shadow_pattern_pretraining_only,blocked_pending_provenance_license_and_road_context_filter,kept_unique_source_training_record
SHADOW_STAGE_00004,SRD_FULL_00410,srd,Donghyun99/SRD (unofficial Hugging Face mirror),train,data/raw/v2/srd_full_hf/extracted_shadow_images/train/00409__DSCF0288.jpg,719,1033,c14ab8cfa7435a33933ddc9cb5f386fbe580d8f084834cb7d0e58f464d82af68,7b997964be12dad9e914b07e97794dd82b0eaa476d604750405c0c0514d41c07,0.056977,present_from_source_mask,not_individually_road_verified,future_shadow_pattern_pretraining_only,blocked_pending_provenance_license_and_road_context_filter,kept_unique_source_training_record
SHADOW_STAGE_00005,SRD_FULL_00411,srd,Donghyun99/SRD (unofficial Hugging Face mirror),train,data/raw/v2/srd_full_hf/extracted_shadow_images/train/00410__DSCF0290.jpg,1437,2065,b43f333f8559b20c12f918a01038e5dcc8b77a3cd104619491d28d3743672d48,3b1a7572bc4d899e51c315a2a6c27c85746f6229889d04c4ebc9795fa15b8681,0.039367,present_from_source_mask,not_individually_road_verified,future_shadow_pattern_pretraining_only,blocked_pending_provenance_license_and_road_context_filter,kept_unique_source_training_record
SHADOW_STAGE_00006,SRD_FULL_00412,srd,Donghyun99/SRD (unofficial Hugging Face mirror),train,data/raw/v2/srd_full_hf/extracted_shadow_images/train/00411__DSCF0292.jpg,1437,2065,d6996ca14637fd646fb71dc71745dbcce50698d60496692f2fef71b616622b8a,c70adbd03ca6f20ba3e16e338794f37cc48b92d71ede17c595af319bbdd35d7c,0.087556,present_from_source_mask,not_individually_road_verified,future_shadow_pattern_pretraining_only,blocked_pending_provenance_license_and_road_context_filter,kept_unique_source_training_record
SHADOW_STAGE_00007,SRD_FULL_00413,srd,Donghyun99/SRD (unofficial Hugging Face mirror),train,data/raw/v2/srd_full_hf/extracted_shadow_images/train/00412__DSCF0294.jpg,1437,2065,c529514c50d5cc5dd72861b565c3556da63fbea6f8266cb999c88d56c0d03b9f,aea3dd87de533580441a9cfff7aa2bc2f3f3e8f1443b08f617b1e5d93af9a5e2,0.101166,present_from_source_mask,not_individually_road_verified,future_shadow_pattern_pretraining_only,blocked_pending_provenance_license_and_road_context_filter,kept_unique_source_training_record
SHADOW_STAGE_00008,SRD_FULL_00414,srd,Donghyun99/SRD (unofficial Hugging Face mirror),train,data/raw/v2/srd_full_hf/extracted_shadow_images/train/00413__DSCF0443.jpg,490,640,cfd7a2cb34e2f348bc76df7e5069f321fd6c90a016f7c21fecf43379d7156892,4839991be7754bc95c529fd69cb6137a81e1ec20da02018a17139c4cc24639f8,0.143326,present_from_source_mask,not_individually_road_verified,future_shadow_pattern_pretraining_only,blocked_pending_provenance_license_and_road_context_filter,kept_unique_source_training_record
SHADOW_STAGE_00009,SRD_FULL_00415,srd,Donghyun99/SRD (unofficial Hugging Face mirror),train,data/raw/v2/srd_full_hf/extracted_shadow_images/train/00414__DSCF0444.jpg,490,640,70d2f0bc2e921c3c3bff9980cc58dc8e3a3230a6f0d680c62683e61076f7e48a,4096b29f43f9d2d0ab0da58f28625389d1b91a9a63906a023d0163850d4c5cb5,0.180797,present_from_source_mask,not_individually_road_verified,future_shadow_pattern_pretraining_only,blocked_pending_provenance_license_and_road_context_filter,kept_unique_source_training_record
SHADOW_STAGE_00010,SRD_FULL_00416,srd,Donghyun99/SRD (unofficial Hugging Face mirror),train,data/raw/v2/srd_full_hf/extracted_shadow_images/train/00415__DSCF0446.jpg,490,640,0fa5915a2c04c1a43e5fe81ff22adb5ae6fe9c1f2fbd7fbebfdc61e9b6985240,1843699c86a1987368ceac16cc228ca0f1d0475933b75f13e6c39ea94ffbf67d,0.158087,present_from_source_mask,not_individually_road_verified,future_shadow_pattern_pretraining_only,blocked_pending_provenance_license_and_road_context_filter,kept_unique_source_training_record
