source_name,source_url,source_split,candidate_id,row_index,filename,sequence_group,surface_context,width,height,shadow_mask_coverage,local_image,local_mask,human_decision,approval_note,status,intended_use,license_note
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-001,2541,_MG_6638.jpg,mg_000110,paved ground,840,640,0.023682,data/raw/v2/srd_train_road_shadow_sample/images/train_2541__MG_6638.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2541__MG_6638.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-007,1946,_MG_5057.jpg,mg_000084,sidewalk and curb,840,640,0.166809,data/raw/v2/srd_train_road_shadow_sample/images/train_1946__MG_5057.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1946__MG_5057.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-011,623,_MG_2443.jpg,mg_000040,asphalt street,840,640,0.049255,data/raw/v2/srd_train_road_shadow_sample/images/train_0623__MG_2443.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0623__MG_2443.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-012,903,_MG_3319.jpg,mg_000055,stone paved ground,840,640,0.128784,data/raw/v2/srd_train_road_shadow_sample/images/train_0903__MG_3319.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0903__MG_3319.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-023,579,IMG_6982.jpg,img_000116,road marking and paved ground,840,640,0.216370,data/raw/v2/srd_train_road_shadow_sample/images/train_0579_IMG_6982.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0579_IMG_6982.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-030,1908,_MG_4998.jpg,mg_000083,sidewalk and curb,840,640,0.030029,data/raw/v2/srd_train_road_shadow_sample/images/train_1908__MG_4998.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1908__MG_4998.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-031,4,DSCF0290.jpg,dscf_000004,paved courtyard,1437,2065,0.011597,data/raw/v2/srd_train_road_shadow_sample/images/train_0004_DSCF0290.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0004_DSCF0290.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-032,81,IMG_5449.jpg,img_000090,tile sidewalk,840,640,0.055786,data/raw/v2/srd_train_road_shadow_sample/images/train_0081_IMG_5449.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0081_IMG_5449.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-034,2646,_MG_8848.jpg,mg_000147,asphalt street,840,640,0.021606,data/raw/v2/srd_train_road_shadow_sample/images/train_2646__MG_8848.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2646__MG_8848.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
Donghyun99/SRD (unofficial Hugging Face mirror),https://huggingface.co/datasets/Donghyun99/SRD,train,SRD-037,1644,_MG_4574.jpg,mg_000076,paved ground,840,640,0.055054,data/raw/v2/srd_train_road_shadow_sample/images/train_1644__MG_4574.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1644__MG_4574.jpg,keep,Student approved 2026-09-15 after raw-mask review.,approved_not_integrated,experimental_road_shadow_data_only,Mirror provenance and original license require confirmation before use beyond local review.
