review_id,candidate_id,source_dataset,source_split,source_record_id,source_image_path,original_source_label,human_decision,reviewer_notes,training_status
NS-001,streetsurfacevis::train::1192203861225189,StreetSurfaceVis,train,1192203861225189,data/raw/v2/streetsurfacevis/s_1024/1192203861225189.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-002,streetsurfacevis::train::1396404087425169,StreetSurfaceVis,train,1396404087425169,data/raw/v2/streetsurfacevis/s_1024/1396404087425169.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-003,streetsurfacevis::train::1638275656507101,StreetSurfaceVis,train,1638275656507101,data/raw/v2/streetsurfacevis/s_1024/1638275656507101.jpg,Normal_asphalt,shadow_present,,excluded_from_no_shadow_candidate_set
NS-004,streetsurfacevis::train::334540182574938,StreetSurfaceVis,train,334540182574938,data/raw/v2/streetsurfacevis/s_1024/334540182574938.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-005,streetsurfacevis::train::1692926774505454,StreetSurfaceVis,train,1692926774505454,data/raw/v2/streetsurfacevis/s_1024/1692926774505454.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-006,streetsurfacevis::train::109544924542566,StreetSurfaceVis,train,109544924542566,data/raw/v2/streetsurfacevis/s_1024/109544924542566.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-007,streetsurfacevis::train::847315406140879,StreetSurfaceVis,train,847315406140879,data/raw/v2/streetsurfacevis/s_1024/847315406140879.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-008,streetsurfacevis::train::799473020675410,StreetSurfaceVis,train,799473020675410,data/raw/v2/streetsurfacevis/s_1024/799473020675410.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-009,streetsurfacevis::train::1168115696947693,StreetSurfaceVis,train,1168115696947693,data/raw/v2/streetsurfacevis/s_1024/1168115696947693.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-010,streetsurfacevis::train::526564922084202,StreetSurfaceVis,train,526564922084202,data/raw/v2/streetsurfacevis/s_1024/526564922084202.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-011,streetsurfacevis::train::4191081234279145,StreetSurfaceVis,train,4191081234279145,data/raw/v2/streetsurfacevis/s_1024/4191081234279145.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-012,streetsurfacevis::train::803352010286348,StreetSurfaceVis,train,803352010286348,data/raw/v2/streetsurfacevis/s_1024/803352010286348.jpg,Normal_asphalt,shadow_present,,excluded_from_no_shadow_candidate_set
NS-013,streetsurfacevis::train::461713041726340,StreetSurfaceVis,train,461713041726340,data/raw/v2/streetsurfacevis/s_1024/461713041726340.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-014,streetsurfacevis::train::117039758001756,StreetSurfaceVis,train,117039758001756,data/raw/v2/streetsurfacevis/s_1024/117039758001756.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-015,streetsurfacevis::train::141317951254952,StreetSurfaceVis,train,141317951254952,data/raw/v2/streetsurfacevis/s_1024/141317951254952.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-016,streetsurfacevis::train::3938530869557425,StreetSurfaceVis,train,3938530869557425,data/raw/v2/streetsurfacevis/s_1024/3938530869557425.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-017,streetsurfacevis::train::479136550015176,StreetSurfaceVis,train,479136550015176,data/raw/v2/streetsurfacevis/s_1024/479136550015176.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
NS-018,streetsurfacevis::train::873211231021841,StreetSurfaceVis,train,873211231021841,data/raw/v2/streetsurfacevis/s_1024/873211231021841.jpg,Normal_asphalt,no_shadow_clear,,approved_no_shadow_candidate
