review_id,candidate_id,source_dataset,source_split,source_record_id,source_image_path,primary_road_label,heuristic_score,selection_reason,human_decision,reviewer_notes
SHC-001,streetsurfacevis::train::387053769645706,StreetSurfaceVis,train,387053769645706,data/raw/v2/streetsurfacevis/s_1024/387053769645706.jpg,Normal_asphalt,0.300117,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-002,streetsurfacevis::train::807081436877102,StreetSurfaceVis,train,807081436877102,data/raw/v2/streetsurfacevis/s_1024/807081436877102.jpg,Unpaved_road,0.346786,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-003,streetsurfacevis::train::1935704469913780,StreetSurfaceVis,train,1935704469913780,data/raw/v2/streetsurfacevis/s_1024/1935704469913780.jpg,Normal_asphalt,0.259278,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-004,streetsurfacevis::train::2245216815631355,StreetSurfaceVis,train,2245216815631355,data/raw/v2/streetsurfacevis/s_1024/2245216815631355.jpg,Unpaved_road,0.324129,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-005,streetsurfacevis::train::4083560831682598,StreetSurfaceVis,train,4083560831682598,data/raw/v2/streetsurfacevis/s_1024/4083560831682598.jpg,Normal_asphalt,0.246129,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-006,streetsurfacevis::train::683634355978781,StreetSurfaceVis,train,683634355978781,data/raw/v2/streetsurfacevis/s_1024/683634355978781.jpg,Unpaved_road,0.303217,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-007,streetsurfacevis::train::475250690455746,StreetSurfaceVis,train,475250690455746,data/raw/v2/streetsurfacevis/s_1024/475250690455746.jpg,Normal_asphalt,0.240655,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-008,streetsurfacevis::train::759485928272548,StreetSurfaceVis,train,759485928272548,data/raw/v2/streetsurfacevis/s_1024/759485928272548.jpg,Unpaved_road,0.298386,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-009,streetsurfacevis::train::826107518284061,StreetSurfaceVis,train,826107518284061,data/raw/v2/streetsurfacevis/s_1024/826107518284061.jpg,Normal_asphalt,0.237928,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-010,streetsurfacevis::train::951551752943194,StreetSurfaceVis,train,951551752943194,data/raw/v2/streetsurfacevis/s_1024/951551752943194.jpg,Unpaved_road,0.296913,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-011,streetsurfacevis::train::303593837938660,StreetSurfaceVis,train,303593837938660,data/raw/v2/streetsurfacevis/s_1024/303593837938660.jpg,Normal_asphalt,0.235247,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-012,streetsurfacevis::train::168585915191277,StreetSurfaceVis,train,168585915191277,data/raw/v2/streetsurfacevis/s_1024/168585915191277.jpg,Unpaved_road,0.296657,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-013,streetsurfacevis::train::310716197237795,StreetSurfaceVis,train,310716197237795,data/raw/v2/streetsurfacevis/s_1024/310716197237795.jpg,Normal_asphalt,0.234885,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-014,streetsurfacevis::train::2807390949576171,StreetSurfaceVis,train,2807390949576171,data/raw/v2/streetsurfacevis/s_1024/2807390949576171.jpg,Unpaved_road,0.294125,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-015,streetsurfacevis::train::881525869781998,StreetSurfaceVis,train,881525869781998,data/raw/v2/streetsurfacevis/s_1024/881525869781998.jpg,Normal_asphalt,0.231840,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-016,streetsurfacevis::train::120327113867366,StreetSurfaceVis,train,120327113867366,data/raw/v2/streetsurfacevis/s_1024/120327113867366.jpg,Unpaved_road,0.293094,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-017,streetsurfacevis::train::1788061291589378,StreetSurfaceVis,train,1788061291589378,data/raw/v2/streetsurfacevis/s_1024/1788061291589378.jpg,Normal_asphalt,0.228237,unreviewed eligible road image with a visually dark local region; human review required,pending,
SHC-018,streetsurfacevis::train::308218220651010,StreetSurfaceVis,train,308218220651010,data/raw/v2/streetsurfacevis/s_1024/308218220651010.jpg,Unpaved_road,0.292912,unreviewed eligible road image with a visually dark local region; human review required,pending,
