review_round,source_dataset,source_split,sample_id,candidate_id,source_image_id,split_group_id,region,source_image_path,preview_file,target_box_xywh,crop_box_xyxy,target_min_side_px,full_image_labels,nearby_non_manhole_labels,proposed_label,human_decision,reviewer_note,record_action,evidence_flag,training_status
1,SVRDD_YOLO,train,manhole_001,svrdd::train::0900220012200313094404454HG_1296661500_482361800::manhole::001,0900220012200313094404454HG_1296661500_482361800,svrdd::train::0900220012200313094404454HG_1296661500_482361800,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200313094404454HG_1296661500_482361800.jpg,manhole_001.png,"158.000,705.000,71.000,20.000","104,626,282,804",20.000,manhole_cover;repaired_road,,manhole_cover,approve_manhole,,retain_candidate_not_training_ready,low_resolution_review_difficulty,approved_candidate_not_final_split
1,SVRDD_YOLO,train,manhole_002,svrdd::train::09002200121707110908524682M_1296201900_482759800::manhole::002,09002200121707110908524682M_1296201900_482759800,svrdd::train::09002200121707110908524682M_1296201900_482759800,Dongcheng,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121707110908524682M_1296201900_482759800.jpg,manhole_002.png,"529.000,632.999,43.000,12.000","496,585,604,693",12.000,crack;manhole_cover,,manhole_cover,approve_manhole,,retain_candidate_not_training_ready,low_resolution_review_difficulty,approved_candidate_not_final_split
1,SVRDD_YOLO,train,manhole_003,svrdd::train::09002200121707081404594792I_1294549000_481724500::manhole::001,09002200121707081404594792I_1294549000_481724500,svrdd::train::09002200121707081404594792I_1294549000_481724500,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081404594792I_1294549000_481724500.jpg,manhole_003.png,"567.999,630.000,46.000,12.000","533,578,648,693",12.000,manhole_cover;repaired_road,,manhole_cover,approve_manhole,,retain_candidate_not_training_ready,low_resolution_review_difficulty,approved_candidate_not_final_split
1,SVRDD_YOLO,train,manhole_005,svrdd::train::09002200121706251207304632Q_1295602100_482521100::manhole::005,09002200121706251207304632Q_1295602100_482521100,svrdd::train::09002200121706251207304632Q_1295602100_482521100,Xicheng,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121706251207304632Q_1295602100_482521100.jpg,manhole_005.png,"852.000,719.000,74.000,25.000","796,639,981,824",25.000,crack;manhole_cover,,manhole_cover,approve_manhole,,retain_candidate_not_training_ready,low_resolution_review_difficulty,approved_candidate_not_final_split
1,SVRDD_YOLO,train,manhole_006,svrdd::train::09002200121902241029261508O_1295949200_484309400::manhole::001,09002200121902241029261508O_1295949200_484309400,svrdd::train::09002200121902241029261508O_1295949200_484309400,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200121902241029261508O_1295949200_484309400.jpg,manhole_006.png,"25.000,672.001,81.000,27.000","0,584,203,787",27.000,manhole_cover;repaired_road,,manhole_cover,approve_manhole,,retain_candidate_not_training_ready,low_resolution_review_difficulty,approved_candidate_not_final_split
1,SVRDD_YOLO,train,manhole_007,svrdd::train::09002200121901251620541772Q_1296265500_482427500::manhole::001,09002200121901251620541772Q_1296265500_482427500,svrdd::train::09002200121901251620541772Q_1296265500_482427500,Dongcheng,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901251620541772Q_1296265500_482427500.jpg,manhole_007.png,"848.000,633.000,50.000,13.000","810,577,935,702",13.000,crack;manhole_cover,,manhole_cover,approve_manhole,,retain_candidate_not_training_ready,low_resolution_review_difficulty,approved_candidate_not_final_split
1,SVRDD_YOLO,train,manhole_008,svrdd::train::09002200122003171153244437C_1295482100_482020000::manhole::001,09002200122003171153244437C_1295482100_482020000,svrdd::train::09002200122003171153244437C_1295482100_482020000,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200122003171153244437C_1295482100_482020000.jpg,manhole_008.png,"519.001,787.000,91.000,32.000","451,689,679,917",32.000,manhole_cover;repaired_road,,manhole_cover,approve_manhole,,retain_candidate_not_training_ready,low_resolution_review_difficulty,approved_candidate_not_final_split
1,SVRDD_YOLO,train,manhole_011,svrdd::train::0100220000130731131242100J2_1296879000_483508600::manhole::002,0100220000130731131242100J2_1296879000_483508600,svrdd::train::0100220000130731131242100J2_1296879000_483508600,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0100220000130731131242100J2_1296879000_483508600.jpg,manhole_011.png,"63.000,673.000,45.000,23.000","29,628,142,741",23.000,crack;manhole_cover,,manhole_cover,approve_manhole,,retain_candidate_not_training_ready,low_resolution_review_difficulty,approved_candidate_not_final_split
1,SVRDD_YOLO,train,manhole_012,svrdd::train::09002200121901201045123792K_1296133800_483321900::manhole::001,09002200121901201045123792K_1296133800_483321900,svrdd::train::09002200121901201045123792K_1296133800_483321900,Dongcheng,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901201045123792K_1296133800_483321900.jpg,manhole_012.png,"660.000,656.001,55.000,16.000","618,595,756,733",16.000,manhole_cover;repaired_road,,manhole_cover,approve_manhole,,retain_candidate_not_training_ready,low_resolution_review_difficulty,approved_candidate_not_final_split
1,SVRDD_YOLO,train,manhole_013,svrdd::train::09002200121706291217495688T_1295787300_481234500::manhole::001,09002200121706291217495688T_1295787300_481234500,svrdd::train::09002200121706291217495688T_1295787300_481234500,Fengtai,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121706291217495688T_1295787300_481234500.jpg,manhole_013.png,"51.000,682.000,61.000,20.000","5,616,158,769",20.000,crack;manhole_cover,,manhole_cover,approve_manhole,,retain_candidate_not_training_ready,low_resolution_review_difficulty,approved_candidate_not_final_split
