review_round,sample_id,region,target_min_side_px,labels_in_full_image,human_decision,reviewer_note,candidate_id,source_image_path,record_action,evidence_flag
1,manhole_001,Chaoyang,20,manhole_cover;repaired_road,approve_manhole,,svrdd::train::0900220012200313094404454HG_1296661500_482361800::manhole::001,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200313094404454HG_1296661500_482361800.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_002,Dongcheng,12,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121707110908524682M_1296201900_482759800::manhole::002,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121707110908524682M_1296201900_482759800.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_003,Fengtai,12,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200121707081404594792I_1294549000_481724500::manhole::001,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121707081404594792I_1294549000_481724500.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_004,Haidian,19,crack;manhole_cover,reject_unclear,Unclear image,svrdd::train::09002200001503290305454486P_1294922900_483571100::manhole::001,data/raw/v2/svrdd/extracted/train/images/Haidian/09002200001503290305454486P_1294922900_483571100.jpg,exclude_from_candidate_pool,low_resolution_review_difficulty
1,manhole_005,Xicheng,25,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121706251207304632Q_1295602100_482521100::manhole::005,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121706251207304632Q_1295602100_482521100.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_006,Chaoyang,27,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200121902241029261508O_1295949200_484309400::manhole::001,data/raw/v2/svrdd/extracted/train/images/Chaoyang/09002200121902241029261508O_1295949200_484309400.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_007,Dongcheng,13,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121901251620541772Q_1296265500_482427500::manhole::001,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901251620541772Q_1296265500_482427500.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_008,Fengtai,32,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200122003171153244437C_1295482100_482020000::manhole::001,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200122003171153244437C_1295482100_482020000.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_009,Haidian,13,crack;manhole_cover,reject_unclear,Unclear image,svrdd::train::09002200011706120822508311M_1294465600_484883100::manhole::002,data/raw/v2/svrdd/extracted/train/images/Haidian/09002200011706120822508311M_1294465600_484883100.jpg,exclude_from_candidate_pool,low_resolution_review_difficulty
1,manhole_010,Xicheng,13,crack;manhole_cover;repaired_road,reject_unclear,Unclear image,svrdd::train::09002200121902061127217172L_1295448000_482686200::manhole::001,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902061127217172L_1295448000_482686200.jpg,exclude_from_candidate_pool,low_resolution_review_difficulty
1,manhole_011,Chaoyang,23,crack;manhole_cover,approve_manhole,,svrdd::train::0100220000130731131242100J2_1296879000_483508600::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0100220000130731131242100J2_1296879000_483508600.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_012,Dongcheng,16,manhole_cover;repaired_road,approve_manhole,,svrdd::train::09002200121901201045123792K_1296133800_483321900::manhole::001,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121901201045123792K_1296133800_483321900.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_013,Fengtai,20,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121706291217495688T_1295787300_481234500::manhole::001,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121706291217495688T_1295787300_481234500.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_014,Haidian,19,manhole_cover;repaired_road,approve_manhole,,svrdd::train::01002200001307241440039435B_1293220800_484901900::manhole::003,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241440039435B_1293220800_484901900.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_015,Xicheng,53,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902031139291352L_1295594100_483297700::manhole::003,data/raw/v2/svrdd/extracted/train/images/Xicheng/09002200121902031139291352L_1295594100_483297700.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_016,Chaoyang,15,crack;manhole_cover,approve_manhole,,svrdd::train::0900220012200314141916647HJ_1297675300_484015900::manhole::002,data/raw/v2/svrdd/extracted/train/images/Chaoyang/0900220012200314141916647HJ_1297675300_484015900.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_017,Dongcheng,18,crack;manhole_cover,reject_unclear,Unclear image,svrdd::train::09002200121902221106599728O_1295929300_483511600::manhole::003,data/raw/v2/svrdd/extracted/train/images/Dongcheng/09002200121902221106599728O_1295929300_483511600.jpg,exclude_from_candidate_pool,low_resolution_review_difficulty
1,manhole_018,Fengtai,21,crack;manhole_cover,approve_manhole,,svrdd::train::09002200121902171252428852Q_1296285700_481840100::manhole::002,data/raw/v2/svrdd/extracted/train/images/Fengtai/09002200121902171252428852Q_1296285700_481840100.jpg,retain_candidate_not_training_ready,low_resolution_review_difficulty
1,manhole_019,Haidian,13,manhole_cover;repaired_road,reject_unclear,Unclear image,svrdd::train::09002200011601101348084402L_1295017800_483429800::manhole::001,data/raw/v2/svrdd/extracted/train/images/Haidian/09002200011601101348084402L_1295017800_483429800.jpg,exclude_from_candidate_pool,low_resolution_review_difficulty
