candidate_id,source_dataset,source_split,source_image_id,split_group_id,region,source_image_path,target_index,target_box_xywh,target_min_side_px,full_image_labels,nearby_other_labels,prefilter_status,human_review_status,review_round,review_focus,human_decision,reviewer_note,training_status,evidence_status
svrdd::train::01002200001307161211513245D_1297951900_483044900::repaired_road::000,SVRDD_YOLO,train,01002200001307161211513245D_1297951900_483044900,svrdd::train::01002200001307161211513245D_1297951900_483044900,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/01002200001307161211513245D_1297951900_483044900.jpg,0,"223.000,641.999,411.000,12.000",12.000,repaired_road,,hold_target_too_small,not_individually_reviewed,,,,,hold_target_too_small,automated_prefilter_hold
svrdd::train::01002200001307170922065295F_1292823500_484711100::repaired_road::000,SVRDD_YOLO,train,01002200001307170922065295F_1292823500_484711100,svrdd::train::01002200001307170922065295F_1292823500_484711100,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170922065295F_1292823500_484711100.jpg,0,"255.000,597.000,201.000,12.000",12.000,repaired_road,,hold_target_too_small,not_individually_reviewed,,,,,hold_target_too_small,automated_prefilter_hold
svrdd::train::01002200001307170954073055P_1293715400_482746000::repaired_road::000,SVRDD_YOLO,train,01002200001307170954073055P_1293715400_482746000,svrdd::train::01002200001307170954073055P_1293715400_482746000,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170954073055P_1293715400_482746000.jpg,0,"418.000,589.000,107.000,76.000",76.000,manhole_cover;repaired_road,manhole_cover,hold_nearby_other_condition,not_individually_reviewed,,,,,hold_nearby_other_condition,automated_prefilter_hold
svrdd::train::0100220000130723120202451J3_1293836000_482811800::repaired_road::002,SVRDD_YOLO,train,0100220000130723120202451J3_1293836000_482811800,svrdd::train::0100220000130723120202451J3_1293836000_482811800,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/0100220000130723120202451J3_1293836000_482811800.jpg,2,"1.000,598.000,73.000,18.000",18.000,manhole_cover;repaired_road,,hold_target_too_small,not_individually_reviewed,,,,,hold_target_too_small,automated_prefilter_hold
svrdd::train::01002200001307241332225975B_1294611100_484891200::repaired_road::000,SVRDD_YOLO,train,01002200001307241332225975B_1294611100_484891200,svrdd::train::01002200001307241332225975B_1294611100_484891200,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241332225975B_1294611100_484891200.jpg,0,"481.000,679.000,97.000,152.001",97.000,crack;repaired_road,crack,hold_nearby_other_condition,not_individually_reviewed,,,,,hold_nearby_other_condition,automated_prefilter_hold
svrdd::train::01002200001307241433364995B_1292983100_484903400::repaired_road::000,SVRDD_YOLO,train,01002200001307241433364995B_1292983100_484903400,svrdd::train::01002200001307241433364995B_1292983100_484903400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433364995B_1292983100_484903400.jpg,0,"462.001,530.000,20.000,55.000",20.000,repaired_road,,hold_target_too_small,not_individually_reviewed,,,,,hold_target_too_small,automated_prefilter_hold
svrdd::train::01002200001307241433422685B_1292976400_484903300::repaired_road::000,SVRDD_YOLO,train,01002200001307241433422685B_1292976400_484903300,svrdd::train::01002200001307241433422685B_1292976400_484903300,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433422685B_1292976400_484903300.jpg,0,"1.000,615.000,167.000,71.999",71.999,crack;repaired_road,crack,hold_nearby_other_condition,not_individually_reviewed,,,,,hold_nearby_other_condition,automated_prefilter_hold
svrdd::train::01002200001307241433422685B_1292976400_484903300::repaired_road::001,SVRDD_YOLO,train,01002200001307241433422685B_1292976400_484903300,svrdd::train::01002200001307241433422685B_1292976400_484903300,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433422685B_1292976400_484903300.jpg,1,"174.000,572.000,226.000,177.000",177.000,crack;repaired_road,crack,hold_nearby_other_condition,not_individually_reviewed,,,,,hold_nearby_other_condition,automated_prefilter_hold
svrdd::train::01002200001307241433422685B_1292976400_484903300::repaired_road::005,SVRDD_YOLO,train,01002200001307241433422685B_1292976400_484903300,svrdd::train::01002200001307241433422685B_1292976400_484903300,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433422685B_1292976400_484903300.jpg,5,"1.000,798.000,47.000,42.000",42.000,crack;repaired_road,crack,hold_nearby_other_condition,not_individually_reviewed,,,,,hold_nearby_other_condition,automated_prefilter_hold
svrdd::train::01002200001307241433436565B_1292974800_484903200::repaired_road::000,SVRDD_YOLO,train,01002200001307241433436565B_1292974800_484903200,svrdd::train::01002200001307241433436565B_1292974800_484903200,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241433436565B_1292974800_484903200.jpg,0,"227.000,524.000,238.000,277.000",238.000,crack;repaired_road,crack,hold_nearby_other_condition,not_individually_reviewed,,,,,hold_nearby_other_condition,automated_prefilter_hold
svrdd::train::01002200001307241434580105B_1292937100_484897500::repaired_road::000,SVRDD_YOLO,train,01002200001307241434580105B_1292937100_484897500,svrdd::train::01002200001307241434580105B_1292937100_484897500,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241434580105B_1292937100_484897500.jpg,0,"1.000,672.999,103.999,49.000",49.000,crack;repaired_road,crack,hold_nearby_other_condition,not_individually_reviewed,,,,,hold_nearby_other_condition,automated_prefilter_hold
svrdd::train::01002200001307241435065855B_1292944900_484898100::repaired_road::000,SVRDD_YOLO,train,01002200001307241435065855B_1292944900_484898100,svrdd::train::01002200001307241435065855B_1292944900_484898100,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307241435065855B_1292944900_484898100.jpg,0,"47.000,584.001,339.000,107.000",107.000,crack;repaired_road,crack,hold_nearby_other_condition,not_individually_reviewed,,,,,hold_nearby_other_condition,automated_prefilter_hold
