candidate_id,class_label,source_dataset,source_split,source_image_id,split_group_id,region,source_image_path,materialized_image_path,target_box_xywh,crop_box_xyxy,target_box_in_crop_xywh,crop_width,crop_height,training_status,evidence_status,output_sha256
svrdd::train::01002200001307161211513245D_1297951900_483044900::repaired_road::001,repaired_road,SVRDD_YOLO,train,01002200001307161211513245D_1297951900_483044900,svrdd::train::01002200001307161211513245D_1297951900_483044900,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/01002200001307161211513245D_1297951900_483044900.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_31952a6da76244d36724003f.jpg,"225.000,541.000,91.000,45.000","156,450,384,678","69.000,91.000,91.000,45.000",228,228,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,9edc6aa2946ad2d2774b90ce571a2d7f1cd2a5e6fe230ca4a9b5acf7b90f0334
svrdd::train::01002200001307161215411745D_1297923200_483131600::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307161215411745D_1297923200_483131600,svrdd::train::01002200001307161215411745D_1297923200_483131600,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/01002200001307161215411745D_1297923200_483131600.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_52d4b47933fb45cfb3c2c6df.jpg,"223.000,718.000,208.000,37.000","67,476,587,996","156.000,242.000,208.000,37.000",520,520,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,f414843700aac69bd674f2ff226dfb6cb8eca3bf054a360d11edabe080e5b4a3
svrdd::train::01002200001307161215411745D_1297923200_483131600::repaired_road::001,repaired_road,SVRDD_YOLO,train,01002200001307161215411745D_1297923200_483131600,svrdd::train::01002200001307161215411745D_1297923200_483131600,Chaoyang,data/raw/v2/svrdd/extracted/train/images/Chaoyang/01002200001307161215411745D_1297923200_483131600.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_31680199a1507e959003b5fe.jpg,"2.000,670.001,172.000,52.000","0,481,430,911","2.000,189.001,172.000,52.000",430,430,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,a72f508fc0b81f3396e60fc32c3c384e04b07e2195a6cb38789f034ce42bf4be
svrdd::train::01002200001307170915546095F_1293006400_485002600::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170915546095F_1293006400_485002600,svrdd::train::01002200001307170915546095F_1293006400_485002600,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170915546095F_1293006400_485002600.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_69befd62d42ea3c856a0610f.jpg,"1.000,722.999,1022.000,113.000","0,0,1024,1024","1.000,722.999,1022.000,113.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,65ad47f7baefdd0c80636f0951bb92942b6b6c5de9e14c598fa8f412576fc62e
svrdd::train::01002200001307170916572995F_1292973300_484926400::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170916572995F_1292973300_484926400,svrdd::train::01002200001307170916572995F_1292973300_484926400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170916572995F_1292973300_484926400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_91adee819373b3e5cbb40a2e.jpg,"1.000,674.000,409.000,62.000","0,2,1022,1024","1.000,672.000,409.000,62.000",1022,1022,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,a90ab13da1f2ed49613fe73e819adb2d494c982fa2153e815e53d314b5aba880
svrdd::train::01002200001307170919492645F_1292926100_484842600::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170919492645F_1292926100_484842600,svrdd::train::01002200001307170919492645F_1292926100_484842600,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170919492645F_1292926100_484842600.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_6b7608e3654ccf6b7cb47cf1.jpg,"0.999,793.000,92.000,74.000","0,715,230,945","0.999,78.000,92.000,74.000",230,230,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,c087f3be1d92d923bb3098a5c014cccd50f05e079c844896824dc6c97af30eb0
svrdd::train::01002200001307170919530555F_1292923500_484838500::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170919530555F_1292923500_484838500,svrdd::train::01002200001307170919530555F_1292923500_484838500,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170919530555F_1292923500_484838500.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_2a9f4b0ac0cfd72cf479e0f1.jpg,"93.000,625.000,437.000,44.000","0,0,1024,1024","93.000,625.000,437.000,44.000",1024,1024,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,4944ba5591941ff92c4ef9c92ce0bb07f3d2ff71b267b60031ecb79e8e80da2d
svrdd::train::01002200001307170921076925F_1292864800_484758000::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170921076925F_1292864800_484758000,svrdd::train::01002200001307170921076925F_1292864800_484758000,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170921076925F_1292864800_484758000.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_94e3a7f17b6dfa7842f2f954.jpg,"144.000,668.000,249.000,51.000","0,382,622,1004","144.000,286.000,249.000,51.000",622,622,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,34f59ad215e76738dced6baa76450e182effbde117d6aed19e8c7b706def64ae
svrdd::train::01002200001307170922018595F_1292826800_484714600::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170922018595F_1292826800_484714600,svrdd::train::01002200001307170922018595F_1292826800_484714600,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170922018595F_1292826800_484714600.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_711a61e24c53241e5d4a2f54.jpg,"125.000,700.000,234.000,31.000","0,423,585,1008","125.000,277.000,234.000,31.000",585,585,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,66f37c6826f1f23979365ed15b3a310826d519439daa684fb280102d6a69c600
svrdd::train::01002200001307170922034405F_1292825700_484713400::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170922034405F_1292825700_484713400,svrdd::train::01002200001307170922034405F_1292825700_484713400,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170922034405F_1292825700_484713400.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_107d88d55d08bf5144138aef.jpg,"63.000,634.000,407.000,38.000","0,6,1018,1024","63.000,628.000,407.000,38.000",1018,1018,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,38e9481438fb18b279b28c69f4f2dd7e91815dbf72280c978c9baf2528b073ca
svrdd::train::01002200001307170922220425F_1292812300_484699500::repaired_road::000,repaired_road,SVRDD_YOLO,train,01002200001307170922220425F_1292812300_484699500,svrdd::train::01002200001307170922220425F_1292812300_484699500,Haidian,data/raw/v2/svrdd/extracted/train/images/Haidian/01002200001307170922220425F_1292812300_484699500.jpg,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_22f90a0c94946c2312d31edb.jpg,"26.000,692.000,372.000,74.000","0,94,930,1024","26.000,598.000,372.000,74.000",930,930,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,770156340bd5228abf48049e8f0f964b9303bb0850cb017baf12d55fedaf0b31
