review_round,sample_id,review_focus,region,target_min_side_px,human_decision,reviewer_note,candidate_id,source_image_id,target_box_xywh,crop_box_xyxy,repaired_box_count
1,repaired_001,region_balanced_label_and_box_review,Chaoyang,49,approve_repaired_road,,svrdd::train::09002200122003101132273466G_1295541000_483887900::repaired_road::004,09002200122003101132273466G_1295541000_483887900,"1.000,731.000,154.000,49.000","0,563,385,948",
1,repaired_002,region_balanced_label_and_box_review,Chaoyang,29,approve_repaired_road,,svrdd::train::0900220012200313093805992HG_1296826200_482364200::repaired_road::002,0900220012200313093805992HG_1296826200_482364200,"892.000,705.000,125.000,29.000","712,564,1024,876",
1,repaired_003,region_balanced_label_and_box_review,Chaoyang,123,approve_repaired_road,,svrdd::train::0900220012200312103503560HJ_1296379700_482946600::repaired_road::000,0900220012200312103503560HJ_1296379700_482946600,"735.000,652.000,265.000,123.000","362,362,1024,1024",
1,repaired_004,region_balanced_label_and_box_review,Chaoyang,67,approve_repaired_road,,svrdd::train::09002200122003101132498386G_1295524400_483914500::repaired_road::003,09002200122003101132498386G_1295524400_483914500,"1.000,741.000,161.000,67.000","0,574,402,976",
1,repaired_005,region_balanced_label_and_box_review,Chaoyang,134,approve_repaired_road,,svrdd::train::09002200122003141051537227C_1296725800_482581200::repaired_road::000,09002200122003141051537227C_1296725800_482581200,"719.000,631.001,305.000,134.000","262,262,1024,1024",
1,repaired_006,region_balanced_label_and_box_review,Chaoyang,90,approve_repaired_road,,svrdd::train::09002200122003120954518967C_1296313500_482583200::repaired_road::000,09002200122003120954518967C_1296313500_482583200,"764.000,673.000,118.000,90.000","676,570,971,865",
1,repaired_007,region_balanced_label_and_box_review,Chaoyang,54,wrong_box,The rectangle box does not cover all repaired road surface,svrdd::train::09002200121902241150442088O_1295828900_484244200::repaired_road::001,09002200121902241150442088O_1295828900_484244200,"527.001,597.000,54.000,117.000","408,510,700,802",
1,repaired_008,region_balanced_label_and_box_review,Chaoyang,44,approve_repaired_road,,svrdd::train::0900220012200315155147671HJ_1296693900_482045800::repaired_road::004,0900220012200315155147671HJ_1296693900_482045800,"166.000,628.000,103.000,44.000","88,521,346,779",
1,repaired_009,region_balanced_label_and_box_review,Chaoyang,41,approve_repaired_road,,svrdd::train::0900220012200311132232696HJ_1296579500_483455100::repaired_road::000,0900220012200311132232696HJ_1296579500_483455100,"669.000,732.000,42.000,41.000","626,688,754,816",
1,repaired_010,region_balanced_label_and_box_review,Chaoyang,103,approve_repaired_road,,svrdd::train::09002200122003121257222787C_1296643500_482577600::repaired_road::000,09002200122003121257222787C_1296643500_482577600,"638.000,610.000,103.000,130.000","527,512,852,837",
1,repaired_011,region_balanced_label_and_box_review,Chaoyang,60,approve_repaired_road,,svrdd::train::0900220012200307144741728HJ_1295932500_483969700::repaired_road::002,0900220012200307144741728HJ_1295932500_483969700,"452.000,639.001,60.000,103.999","352,561,612,821",
1,repaired_012,region_balanced_label_and_box_review,Chaoyang,54,approve_repaired_road,,svrdd::train::0900220012200312125558560HJ_1297318500_483065100::repaired_road::000,0900220012200312125558560HJ_1297318500_483065100,"1.000,730.000,148.000,54.000","0,572,370,942",
1,repaired_013,region_balanced_label_and_box_review,Dongcheng,78,approve_repaired_road,,svrdd::train::09002200121901201518280582L_1295702500_482050800::repaired_road::002,09002200121901201518280582L_1295702500_482050800,"690.999,589.000,120.001,78.000","601,478,901,778",
1,repaired_014,region_balanced_label_and_box_review,Dongcheng,51,approve_repaired_road,,svrdd::train::09002200121901231016029832K_1296220000_483077900::repaired_road::000,09002200121901231016029832K_1296220000_483077900,"746.000,758.000,51.000,55.000","702,716,840,854",
1,repaired_015,region_balanced_label_and_box_review,Dongcheng,64,approve_repaired_road,,svrdd::train::09002200121901211022281612K_1296263000_483053600::repaired_road::000,09002200121901211022281612K_1296263000_483053600,"427.000,520.000,64.000,187.000","225,380,693,848",
1,repaired_016,region_balanced_label_and_box_review,Dongcheng,63,approve_repaired_road,,svrdd::train::09002200121901201537571412L_1295943600_482063300::repaired_road::005,09002200121901201537571412L_1295943600_482063300,"346.000,567.001,97.000,63.000","274,478,516,720",
1,repaired_017,region_balanced_label_and_box_review,Dongcheng,35,approve_repaired_road,,svrdd::train::09002200121901231017154972K_1296221900_483022800::repaired_road::000,09002200121901231017154972K_1296221900_483022800,"557.000,554.000,35.000,39.999","510,510,638,638",
1,repaired_018,region_balanced_label_and_box_review,Dongcheng,34,reject_unclear,Inside of the box is not visible,svrdd::train::09002200121901231016113672K_1296220300_483071500::repaired_road::001,09002200121901231016113672K_1296220300_483071500,"217.000,656.001,585.000,34.000","0,0,1024,1024",
1,repaired_019,region_balanced_label_and_box_review,Dongcheng,106,approve_repaired_road,,svrdd::train::09002200121901201650290112K_1295791900_483226200::repaired_road::000,09002200121901201650290112K_1295791900_483226200,"64.001,679.999,724.000,106.000","0,0,1024,1024",
1,repaired_020,region_balanced_label_and_box_review,Dongcheng,35,reject_unclear,Inside of the box is not visible,svrdd::train::09002200121901201537062992L_1295908600_482062500::repaired_road::000,09002200121901201537062992L_1295908600_482062500,"605.000,587.000,37.000,35.000","560,540,688,668",
1,repaired_021,region_balanced_label_and_box_review,Dongcheng,32,approve_repaired_road,,svrdd::train::09002200121901201518503652L_1295674500_482048000::repaired_road::004,09002200121901201518503652L_1295674500_482048000,"695.999,636.000,103.000,32.000","618,523,876,781",
1,repaired_022,region_balanced_label_and_box_review,Dongcheng,39,approve_repaired_road,,svrdd::train::09002200121901201521418612Q_1295840400_482022100::repaired_road::001,09002200121901201521418612Q_1295840400_482022100,"351.999,667.000,254.000,39.000","161,369,796,1004",
1,repaired_023,region_balanced_label_and_box_review,Dongcheng,115,approve_repaired_road,,svrdd::train::09002200121901231015533912K_1296219900_483086200::repaired_road::002,09002200121901231015533912K_1296219900_483086200,"609.999,611.000,115.000,128.000","507,515,827,835",
1,repaired_024,region_balanced_label_and_box_review,Dongcheng,154,approve_repaired_road,,svrdd::train::09002200121901231017357852K_1296222800_482996100::repaired_road::002,09002200121901231017357852K_1296222800_482996100,"596.000,609.000,154.000,173.000","457,480,889,912",
1,repaired_025,region_balanced_label_and_box_review,Fengtai,78,approve_repaired_road,,svrdd::train::09002200121707081407583862I_1294527100_482020700::repaired_road::001,09002200121707081407583862I_1294527100_482020700,"821.000,892.000,203.000,78.000","516,516,1024,1024",
1,repaired_026,region_balanced_label_and_box_review,Fengtai,171,approve_repaired_road,,svrdd::train::09002200121707081429043002I_1294808700_481459100::repaired_road::001,09002200121707081429043002I_1294808700_481459100,"227.000,718.000,797.000,171.000","0,0,1024,1024",
1,repaired_027,region_balanced_label_and_box_review,Fengtai,44,reject_unclear,Inside of the box is not visible,svrdd::train::09002200121901201344392272L_1295282400_482068000::repaired_road::001,09002200121901201344392272L_1295282400_482068000,"760.001,675.000,256.000,44.000","384,377,1024,1017",
1,repaired_028,region_balanced_label_and_box_review,Fengtai,42,approve_repaired_road,,svrdd::train::09002200121901261033303812Q_1296169000_482047700::repaired_road::002,09002200121901261033303812Q_1296169000_482047700,"663.000,644.000,42.000,74.000","592,588,777,773",
1,repaired_029,region_balanced_label_and_box_review,Fengtai,48,approve_repaired_road,,svrdd::train::09002200121707101400556562I_1295245500_481601100::repaired_road::000,09002200121707101400556562I_1295245500_481601100,"903.000,969.000,121.000,48.000","722,722,1024,1024",
1,repaired_030,region_balanced_label_and_box_review,Fengtai,118,approve_repaired_road,,svrdd::train::09002200121707101639120722I_1295234700_481246900::repaired_road::000,09002200121707101639120722I_1295234700_481246900,"1.000,861.001,229.000,118.000","0,452,572,1024",
1,repaired_031,region_balanced_label_and_box_review,Fengtai,124,approve_repaired_road,,svrdd::train::09002200121707081438046142I_1295616200_481474800::repaired_road::000,09002200121707081438046142I_1295616200_481474800,"258.000,770.000,766.000,124.000","0,0,1024,1024",
1,repaired_032,region_balanced_label_and_box_review,Fengtai,93,approve_repaired_road,,svrdd::train::09002200011601151540326058O_1295243000_481614500::repaired_road::000,09002200011601151540326058O_1295243000_481614500,"87.000,851.000,206.000,93.000","0,509,515,1024",
1,repaired_033,region_balanced_label_and_box_review,Fengtai,164,approve_repaired_road,,svrdd::train::09002200121707101400519752I_1295245500_481598900::repaired_road::001,09002200121707101400519752I_1295245500_481598900,"0.999,740.000,234.000,164.000","0,439,585,1024",
1,repaired_034,region_balanced_label_and_box_review,Fengtai,43,approve_repaired_road,,svrdd::train::0900220012200313103129781HG_1295005700_482313500::repaired_road::000,0900220012200313103129781HG_1295005700_482313500,"741.000,828.000,181.000,43.000","572,572,1024,1024",
1,repaired_035,region_balanced_label_and_box_review,Fengtai,178,approve_repaired_road,,svrdd::train::09002200121707081437195842I_1295582100_481472800::repaired_road::001,09002200121707081437195842I_1295582100_481472800,"614.000,756.000,410.000,178.000","0,0,1024,1024",
