sample_id,size_band,region,crop_dimensions,candidate_id,source_image_id,split_group_id,materialized_image_path,preview_image_path,training_status,evidence_status,proposed_label,human_decision,reviewer_note
repaired_unique_001,small_128_191,Chaoyang,142x142,svrdd::train::0900220012200311132229399HJ_1296574800_483449500::repaired_road::000,0900220012200311132229399HJ_1296574800_483449500,svrdd::train::0900220012200311132229399HJ_1296574800_483449500,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_5470da43ba4f65e219bbc254.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_001.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_002,small_128_191,Chaoyang,128x128,svrdd::train::09002200122003101132173366G_1295548300_483875100::repaired_road::002,09002200122003101132173366G_1295548300_483875100,svrdd::train::09002200122003101132173366G_1295548300_483875100,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_1627bf4862730d6109014bc2.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_002.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_003,small_128_191,Chaoyang,142x142,svrdd::train::0900220012200311132231305HJ_1296577500_483452700::repaired_road::001,0900220012200311132231305HJ_1296577500_483452700,svrdd::train::0900220012200311132231305HJ_1296577500_483452700,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_0407708ff6dfff1e1cd9d147.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_003.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_004,small_128_191,Chaoyang,138x138,svrdd::train::0900220012200311133901469HJ_1296780500_483695400::repaired_road::000,0900220012200311133901469HJ_1296780500_483695400,svrdd::train::0900220012200311133901469HJ_1296780500_483695400,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_07a8c46519b3d93b4ac4583a.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_004.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_005,small_128_191,Dongcheng,135x135,svrdd::train::09002200121901231014507382K_1296220600_483129500::repaired_road::005,09002200121901231014507382K_1296220600_483129500,svrdd::train::09002200121901231014507382K_1296220600_483129500,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_d73ed50295ad2134dd3e5ed3.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_005.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_006,small_128_191,Dongcheng,128x128,svrdd::train::09002200121901201518568702L_1295663600_482046800::repaired_road::001,09002200121901201518568702L_1295663600_482046800,svrdd::train::09002200121901201518568702L_1295663600_482046800,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_67679186e82e6297182ba7c5.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_006.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_007,small_128_191,Dongcheng,190x190,svrdd::train::09002200121901201517427272L_1295754300_482055000::repaired_road::002,09002200121901201517427272L_1295754300_482055000,svrdd::train::09002200121901201517427272L_1295754300_482055000,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_d0b49e4ec888922bd4408d44.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_007.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_008,small_128_191,Dongcheng,128x128,svrdd::train::09002200121901201601321632L_1296223500_483015800::repaired_road::005,09002200121901201601321632L_1296223500_483015800,svrdd::train::09002200121901201601321632L_1296223500_483015800,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_9fe74c6dd487e7dc5e5489a1.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_008.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_009,small_128_191,Fengtai,128x128,svrdd::train::09002200121901261056554272Q_1296057900_482049200::repaired_road::001,09002200121901261056554272Q_1296057900_482049200,svrdd::train::09002200121901261056554272Q_1296057900_482049200,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_599d7f6e47519e83a7a0a342.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_009.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_010,small_128_191,Fengtai,140x140,svrdd::train::09002200121901261032230082Q_1296228900_482042200::repaired_road::002,09002200121901261032230082Q_1296228900_482042200,svrdd::train::09002200121901261032230082Q_1296228900_482042200,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_97bfe1de24a7af88fb9cac78.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_010.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_011,small_128_191,Fengtai,172x172,svrdd::train::0900220012200313103339119HG_1294931600_482285500::repaired_road::001,0900220012200313103339119HG_1294931600_482285500,svrdd::train::0900220012200313103339119HG_1294931600_482285500,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_570e97d52c540a280231d5ca.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_011.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_012,small_128_191,Fengtai,128x128,svrdd::train::0900220012200313103342182HG_1294926200_482282500::repaired_road::000,0900220012200313103342182HG_1294926200_482282500,svrdd::train::0900220012200313103342182HG_1294926200_482282500,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_cf72db3908897ee9fd2c855c.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_012.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_013,small_128_191,Haidian,140x140,svrdd::train::0900220012200317104524789HJ_1294598900_482427100::repaired_road::002,0900220012200317104524789HJ_1294598900_482427100,svrdd::train::0900220012200317104524789HJ_1294598900_482427100,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_50adff7f228df27227f7ddef.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_013.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_014,small_128_191,Haidian,128x128,svrdd::train::01002200001307241436085015B_1293013200_484900600::repaired_road::001,01002200001307241436085015B_1293013200_484900600,svrdd::train::01002200001307241436085015B_1293013200_484900600,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_76f616012de64eb74fcf9d4c.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_014.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_015,small_128_191,Haidian,185x185,svrdd::train::0900220012200318102117321HJ_1295032300_482796400::repaired_road::001,0900220012200318102117321HJ_1295032300_482796400,svrdd::train::0900220012200318102117321HJ_1295032300_482796400,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_3057f9f9bd13f867ed987ae1.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_015.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_016,small_128_191,Haidian,135x135,svrdd::train::0900220012200306152615120HG_1294415100_485165300::repaired_road::000,0900220012200306152615120HG_1294415100_485165300,svrdd::train::0900220012200306152615120HG_1294415100_485165300,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_1000b4de91edf84b7b59da9c.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_016.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_017,small_128_191,Xicheng,145x145,svrdd::train::09002200121902031013498282L_1295471500_482805800::repaired_road::002,09002200121902031013498282L_1295471500_482805800,svrdd::train::09002200121902031013498282L_1295471500_482805800,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_bd191208389605697648f13e.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_017.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_018,small_128_191,Xicheng,130x130,svrdd::train::09002200011601101357065022L_1295690000_483453100::repaired_road::000,09002200011601101357065022L_1295690000_483453100,svrdd::train::09002200011601101357065022L_1295690000_483453100,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_1bd590855e867da2579ef0fa.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_018.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_019,small_128_191,Xicheng,128x128,svrdd::train::09002200121901201352117062L_1295365900_482464300::repaired_road::003,09002200121901201352117062L_1295365900_482464300,svrdd::train::09002200121901201352117062L_1295365900_482464300,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_97791e4e9daa7954b84e228c.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_019.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_020,small_128_191,Xicheng,152x152,svrdd::train::09002200121901201421291512L_1295408500_483111200::repaired_road::000,09002200121901201421291512L_1295408500_483111200,svrdd::train::09002200121901201421291512L_1295408500_483111200,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_b591febf79fc589be826fff2.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_020.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_021,medium_192_383,Chaoyang,362x362,svrdd::train::0900220012200311132108375HJ_1296508500_483371500::repaired_road::000,0900220012200311132108375HJ_1296508500_483371500,svrdd::train::0900220012200311132108375HJ_1296508500_483371500,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_0984db51d9a615f5b3919245.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_021.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
repaired_unique_022,medium_192_383,Chaoyang,258x258,svrdd::train::0900220012200311132221226HJ_1296564600_483437500::repaired_road::000,0900220012200311132221226HJ_1296564600_483437500,svrdd::train::0900220012200311132221226HJ_1296564600_483437500,data/processed/v2/svrdd/repaired_road_candidates/repaired_road/repaired_road_dc04d4ca0fbd2596006ee846.jpg,data/processed/v2/svrdd/repaired_road_unique_quality_review/previews/repaired_unique_022.png,retain_source_labeled_audit_supported_candidate,source_label_supported_by_100_sample_audit,repaired_road,approve_repaired_road,
