dataset,revision,split,scene_group,row_idx,source_filename,image_path,mask_path,width,height,pavement_candidate_score,low_saturation_ratio,moderate_brightness_ratio,shadow_coverage,lower_shadow_share,green_excess_ratio,texture_score,selected_for_contact_sheet
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,25,248,25-8.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0248_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0248_mask.png,640,480,0.918426,0.99996,0.99998,0.374167,1.0,0.0,0.184451,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,14,72,14-4.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0072_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0072_mask.png,640,480,0.91728,0.998738,0.986138,0.370677,0.974357,0.0,0.258964,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,80,1133,80-16.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1133_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1133_mask.png,640,480,0.907289,0.94349,0.991847,0.22207,1.0,2e-05,0.436416,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,22,208,22-7.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0208_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0208_mask.png,640,480,0.902672,0.935156,0.995773,0.250612,1.0,4e-05,0.280839,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,66,914,66-5.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0914_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0914_mask.png,640,480,0.900113,0.975621,0.9998,0.220807,0.982427,0.0,0.272915,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,16,123,16-6.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0123_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0123_mask.png,640,480,0.899174,0.997376,0.998618,0.217474,1.0,0.0,0.160329,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,85,1234,85-4.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1234_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1234_mask.png,640,480,0.896893,0.964724,0.929888,0.299141,1.0,2e-05,0.229237,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,87,1269,87-16.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_1269_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_1269_mask.png,640,480,0.894423,0.885938,0.974299,0.194844,1.0,4e-05,0.688784,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,20,187,20-6.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0187_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0187_mask.png,640,480,0.893069,0.939022,0.972196,0.411276,0.985753,0.00012,0.244094,True
Donghyun99/ISTD,26b247efd504d50416d5283aba2c5322f1ddae70,train,19,164,19-3.png,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\images\istd_train_0164_image.jpg,D:\GitHub\gov-01-road-damage-classifier-capstone\data\raw\v2\istd_shadow_pretraining_sample\masks\istd_train_0164_mask.png,640,480,0.888309,0.995994,0.995753,0.211172,1.0,0.000581,0.093788,True
