candidate_id,source_split,row_index,filename,sequence_group,width,height,road_score,neutral_fraction,green_excess,blue_excess,edge_score,shadow_mask_coverage,local_image,local_mask,human_decision,human_note
SRD-001,train,2541,_MG_6638.jpg,mg_000110,840,640,2.410942,0.998785,0.002202,0.007689,0.042417,0.023682,data/raw/v2/srd_train_road_shadow_sample/images/train_2541__MG_6638.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2541__MG_6638.jpg,pending,
SRD-002,train,1372,_MG_4061.jpg,mg_000067,840,640,2.404994,0.999653,0.001697,0.002557,0.019981,0.311096,data/raw/v2/srd_train_road_shadow_sample/images/train_1372__MG_4061.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1372__MG_4061.jpg,pending,
SRD-003,train,1447,_MG_4156.jpg,mg_000069,840,640,2.404915,0.999132,0.002264,0.000327,0.020261,0.138367,data/raw/v2/srd_train_road_shadow_sample/images/train_1447__MG_4156.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1447__MG_4156.jpg,pending,
SRD-004,train,2661,_MG_8912.jpg,mg_000148,840,640,2.404790,1.000000,0.002901,0.000253,0.019709,0.137634,data/raw/v2/srd_train_road_shadow_sample/images/train_2661__MG_8912.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2661__MG_8912.jpg,pending,
SRD-005,train,2668,_MG_8923.jpg,mg_000148,840,640,2.404578,1.000000,0.002865,0.000273,0.019288,0.138794,data/raw/v2/srd_train_road_shadow_sample/images/train_2668__MG_8923.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2668__MG_8923.jpg,pending,
SRD-006,train,1403,_MG_4100.jpg,mg_000068,840,640,2.404532,0.999479,0.001856,0.001209,0.018286,0.469482,data/raw/v2/srd_train_road_shadow_sample/images/train_1403__MG_4100.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1403__MG_4100.jpg,pending,
SRD-007,train,1946,_MG_5057.jpg,mg_000084,840,640,2.404309,0.999913,0.002699,0.000470,0.018827,0.166809,data/raw/v2/srd_train_road_shadow_sample/images/train_1946__MG_5057.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1946__MG_5057.jpg,pending,
SRD-008,train,1357,_MG_4043.jpg,mg_000067,840,640,2.403491,1.000000,0.002855,0.001288,0.019432,0.088623,data/raw/v2/srd_train_road_shadow_sample/images/train_1357__MG_4043.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1357__MG_4043.jpg,pending,
SRD-009,train,1957,_MG_5086.jpg,mg_000084,840,640,2.402928,1.000000,0.002901,0.002299,0.020556,0.325867,data/raw/v2/srd_train_road_shadow_sample/images/train_1957__MG_5086.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_1957__MG_5086.jpg,pending,
SRD-010,train,2007,_MG_5597.jpg,mg_000093,840,640,2.401571,0.999566,0.002501,0.006722,0.025976,0.141663,data/raw/v2/srd_train_road_shadow_sample/images/train_2007__MG_5597.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_2007__MG_5597.jpg,pending,
SRD-011,train,623,_MG_2443.jpg,mg_000040,840,640,2.400852,0.998003,0.001903,0.000385,0.016876,0.049255,data/raw/v2/srd_train_road_shadow_sample/images/train_0623__MG_2443.jpg,data/raw/v2/srd_train_road_shadow_sample/masks/train_0623__MG_2443.jpg,pending,
